Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues],Magazine[Source]
Loadstar The Best of Loadstar,English,,,,Commodore 64,"Loadstar The Best of Loadstar #4 (1988)(Softdisk)(Side A), Loadstar The Best of Loadstar #4 (1988)(Softdisk)(Side B)",
Lobster Pot,,,01.02.1993,01.05.1993,AMIGA OCS/ECS,"Lobster Pot 15, Lobster Pot 16",
Loco,English,,,,Commodore 64,Loco #01,
Lode Runner: Mad Monks Revenge Review,,,12.03.1997,12.03.1997,MS-DOS,Lode Runner: Mad Monks Revenge Review,
Logo Show,English,,,,Commodore 64,Logo Show #02 (19xx)(Death)(Side A),
Lone News,,,01.10.1996,12.03.1997,COMMODORE 16/PLUS 4,"Lone News 1, Lone News 2, Lone News 3, Lone News 4, Lone News 5, Lone News 6",
lookain fanz,,,01.08.1998,01.08.1998,WINDOWS,"lookain fanz #1, lookain fanz #2, lookain fanz #3",
Loss of Carrier,English,,01.01.1990,01.01.1990,Commodore 64,"Loss of Carrier #1, Loss of Carrier #2",
Lost Vikings 2 Review,,,02.03.1997,02.03.1997,MS-DOS,Lost Vikings 2 Review,
Lotek64,,,01.01.2002,01.01.2007,Commodore 64,"Lotek64 #01, Lotek64 #02, Lotek64 #04, Lotek64 #05, Lotek64 #06, Lotek64 #07, Lotek64 #09, Lotek64 #11, Lotek64 #12, Lotek64 #13, Lotek64 #14, Lotek64 #15, Lotek64 #16, Lotek64 #17, Lotek64 #18, Lotek64 #19, Lotek64 #20, Lotek64 #21/22, Lotek64 #23",
Love,,,19.10.1993,19.10.1993,AMIGA OCS/ECS,Love 1,
Love and Sex,English,,01.01.1989,19.10.1993,Commodore 64,"Love and Sex #1, Love and Sex #1+3 (1989)(Alpha Flight 1970), Love and Sex #2, Love and Sex #3, Love and Sex #4, Love and Sex #5",
Lprint,Russian,Belarus,30.04.1997,24.10.1997,ZX Spectrum,"Lprint #01, Lprint #02, Lprint #03, Lprint #04, Lprint #05, Lprint #06, Lprint #07, Lprint #08, Lprint #09, Lprint #10, Lprint #11, Lprint #12, Lprint #13, Lprint #14, Lprint #15, Lprint #16, Lprint #17, Lprint #18, Lprint #19, Lprint #20, Lprint #21, Lprint #22, Lprint #23",
Lquid Information Release,,,09.02.1997,09.02.1997,MS-DOS,Lquid Information Release #1,
Luna,,,01.05.1996,07.05.1996,MS-DOS,Luna 1,
Lunchtime,English,,01.08.1992,01.01.1996,AMIGA,"Lunchtime #1 to #6 [RISC OS], Lunchtime #3: Edward's Revenge [Amiga], Lunchtime #4: Yul Brynner's Memorial Toolshed [Amiga Version], Lunchtime #5: Wardrobe Racing for Foreigners [Amiga version]",
Lush,,,01.01.1996,01.01.1996,MS-DOS,Lush #1,
Lyriikat Osa,,,01.01.1994,01.01.1994,AMIGA OCS/ECS,Lyriikat Osa 2,
Macnolamia - Abnormalia Special Edition,,,01.01.1994,01.01.1994,AMIGA OCS/ECS,Macnolamia - Abnormalia Special Edition,
Mad Mag,,,,,AMSTRAD CPC,Mad Mag Issue #2,
Madania Press,,,01.06.1996,01.06.1996,MS-DOS,Madania Press #1,
MadMag,,,01.01.1994,20.09.1997,MS-DOS,"MadMag 1, MadMag 2",
Madness,Russian,Russia,17.02.2001,17.02.2001,ZX Spectrum,Madness #01,
Mador Internal Magazin,,,20.09.1997,20.09.1997,AMIGA OCS/ECS,"Mador Internal Magazin #2, Mador Internal Magazin #3",
Mag Disc Letter,,,01.01.1994,01.01.1994,ATARI ST/E,Mag Disc Letter 1,
Mag*Fan*Zine,,,01.01.1997,01.01.1997,Commodore 64,Mag*Fan*Zine #04,
Mag-Net,,,01.09.1993,04.04.1994,AMIGA OCS/ECS,"Mag-Net 1, Mag-Net 2, Mag-Net 3",
Mag-Net Preview,,,01.08.1993,04.04.1994,AMIGA OCS/ECS,Mag-Net Preview,
MAG.E,English,,,,AMIGA,"MAG.E #4, MAG.E #5, MAG.E #6",
Magascene,English,,01.01.1991,01.06.1992,Commodore 64,"Magascene #1, Magascene #2, Magascene #3, Magascene #4, Magascene #5",
Magazinetic,,,,,Commodore 64,Magazinetic,
Magbox,English,,01.07.1992,01.05.1993,AMIGA OCS/ECS,"Magbox 1, Magbox 2, Magbox 3, Magbox 4, Magbox 5",
Mage Hawk magazine,,,30.12.2000,30.12.2000,MS-DOS,Mage Hawk magazine,
maggay,,,01.08.2000,01.08.2000,MS-DOS,maggay issue #1,
Maggie,,,01.06.1990,02.02.2000,"ATARI FALCON, ATARI ST/E","Maggie 01, Maggie 02, Maggie 03, Maggie 04, Maggie 05, Maggie 07, Maggie 08, Maggie 09, Maggie 10, Maggie 11, Maggie 12, Maggie 13, Maggie 14, Maggie 15, Maggie 16, Maggie 17, Maggie 18, Maggie 19, Maggie 20, Maggie 21, Maggie 22, Maggie 23, Maggie 24, Maggie 25, Maggie 26, Maggie 27, Maggie 28",
Maggie 29 - Tenth Anniversary Issue,,,23.01.2016,23.01.2016,"ATARI FALCON, ATARI ST/E",Maggie 29 - Tenth Anniversary Issue,
Maggie Best Of Issues 1-11,,,03.12.1995,03.12.1995,ATARI ST/E,Maggie Best Of Issues 1-11,
Maggie – 25th Anniversary,,,01.01.2016,23.01.2016,"ATARI ST/E, Atari ST",Maggie – 25th Anniversary,
Maggy,,,01.01.1989,13.06.1992,AMIGA OCS/ECS,"Maggy 10, Maggy 11, Maggy 12, Maggy 3, Maggy 4, Maggy 5, Maggy 6, Maggy 7, Maggy 8, Maggy 9",
Magia,English,,01.01.1995,01.01.1997,Commodore 64,"Magia #1, Magia #2, Magia #3",
Magic 1/94,,,28.06.1994,28.06.1994,AMIGA OCS/ECS,Magic 1/94,
Magic 1/95,,,01.01.1995,01.01.1995,AMIGA OCS/ECS,Magic 1/95,
Magic 1/97,,,25.08.1997,25.08.1997,AMIGA AGA,Magic 1/97,
Magic 2/94,,,16.10.1994,16.10.1994,AMIGA OCS/ECS,Magic 2/94,
Magic 2/95,,,01.01.1995,01.01.1995,AMIGA OCS/ECS,Magic 2/95,
Magic 2/96,,,01.07.1996,01.07.1996,AMIGA AGA,Magic 2/96,
Magic 3/94,,,11.12.1994,11.12.1994,AMIGA OCS/ECS,Magic 3/94,
Magic Code,,,01.01.1999,01.01.1999,Commodore 64,Magic Code #01 [german],
Magic Disk,English,,,,Commodore 64,"Magic Disk 64 87 11 (1987)( )(de)(Side A), Magic Disk 64 87 11 (1987)( )(de)(Side B), Magic Disk 64 87 12 (1987)( )(de)(Side A), Magic Disk 64 87 12 (1987)( )(de)(Side B), Magic Disk 64 88 01 (1988)( )(de)(Side A), Magic Disk 64 88 01 (1988)( )(de)(Side B), Magic Disk 64 88 02 (1988)( )(de)(Side A), Magic Disk 64 88 02 (1988)( )(de)(Side B), Magic Disk 64 88 03 (1988)( )(de)(Side A), Magic Disk 64 88 03 (1988)( )(de)(Side B), Magic Disk 64 88 04 (1988)( )(de)(Side A), Magic Disk 64 88 04 (1988)( )(de)(Side B), Magic Disk 64 88 05 (1988)( )(de)(Side A), Magic Disk 64 88 05 (1988)( )(de)(Side B), Magic Disk 64 88 06 (1988)( )(de)(Side A), Magic Disk 64 88 06 (1988)( )(de)(Side B), Magic Disk 64 88 07 (1988)( )(de)(Side A), Magic Disk 64 88 07 (1988)( )(de)(Side B), Magic Disk 64 88 08 (1988)( )(de)(Side A), Magic Disk 64 88 08 (1988)( )(de)(Side B), Magic Disk 64 88 09 (1988)( )(de)(Side A), Magic Disk 64 88 09 (1988)( )(de)(Side B), Magic Disk 64 88 10 (1988)( )(de)(Side A), Magic Disk 64 88 10 (1988)( )(de)(Side B), Magic Disk 64 88 11 (1988)( )(de)(Side A), Magic Disk 64 88 11 (1988)( )(de)(Side B), Magic Disk 64 88 12 (1988)( )(de)(Side A), Magic Disk 64 88 12 (1988)( )(de)(Side B), Magic Disk 64 89 01 (1989)( )(de)(Side A), Magic Disk 64 89 01 (1989)( )(de)(Side B), Magic Disk 64 89 02 (1989)( )(de)(Side A), Magic Disk 64 89 02 (1989)( )(de)(Side B), Magic Disk 64 89 03 (1989)( )(de)(Side A), Magic Disk 64 89 03 (1989)( )(de)(Side B), Magic Disk 64 89 04 (1989)( )(de)(Side A), Magic Disk 64 89 04 (1989)( )(de)(Side B), Magic Disk 64 89 05 (1989)( )(de)(Side A), Magic Disk 64 89 05 (1989)( )(de)(Side B), Magic Disk 64 89 06 (1989)( )(de)(Side A), Magic Disk 64 89 10 (1989)( )(de)(Side A), Magic Disk 64 89 10 (1989)( )(de)(Side B), Magic Disk 64 89 11 (1989)( )(de)(Side A), Magic Disk 64 89 11 (1989)( )(de)(Side B), Magic Disk 64 89 12 (1989)( )(de)(Side A), Magic Disk 64 89 12 (1989)( )(de)(Side B), Magic Disk 64 90 01 (1990)( )(de)(Side A), Magic Disk 64 90 01 (1990)( )(de)(Side B), Magic Disk 64 90 02 (1990)( )(de)(Side A), Magic Disk 64 90 02 (1990)( )(de)(Side B), Magic Disk 64 90 03 (1990)( )(de)(Side A), Magic Disk 64 90 03 (1990)( )(de)(Side B), Magic Disk 64 90 04 (1990)( )(de)(Side A), Magic Disk 64 90 04 (1990)( )(de)(Side B), Magic Disk 64 90 05 (1990)( )(de)(Side A), Magic Disk 64 90 05 (1990)( )(de)(Side B), Magic Disk 64 90 06 (1990)( )(de)(Side A), Magic Disk 64 90 06 (1990)( )(de)(Side B), Magic Disk 64 90 07 (1990)( )(de)(Side A), Magic Disk 64 90 07 (1990)( )(de)(Side B), Magic Disk 64 90 08 (1990)( )(de)(Side A), Magic Disk 64 90 08 (1990)( )(de)(Side B), Magic Disk 64 90 09 (1990)( )(de)(Side A), Magic Disk 64 90 09 (1990)( )(de)(Side B), Magic Disk 64 90 10 (1990)( )(de)(Side A), Magic Disk 64 90 10 (1990)( )(de)(Side B), Magic Disk 64 90 11 (1990)( )(de)(Side A), Magic Disk 64 90 11 (1990)( )(de)(Side B), Magic Disk 64 90 12 (1990)( )(de)(Side A), Magic Disk 64 90 12 (1990)( )(de)(Side B), Magic Disk 64 91 01 (1991)( )(de)(Side A), Magic Disk 64 91 01 (1991)( )(de)(Side B), Magic Disk 64 91 02 (1991)( )(de)(Side A), Magic Disk 64 91 02 (1991)( )(de)(Side B), Magic Disk 64 91 03 (1991)( )(de)(Side A), Magic Disk 64 91 03 (1991)( )(de)(Side B), Magic Disk 64 91 04 (1991)( )(de)(Side A), Magic Disk 64 91 04 (1991)( )(de)(Side B), Magic Disk 64 91 05 (1991)( )(de)(Side A), Magic Disk 64 91 05 (1991)( )(de)(Side B), Magic Disk 64 91 06 (1991)( )(de)(Side A), Magic Disk 64 91 06 (1991)( )(de)(Side B), Magic Disk 64 91 07 (1991)( )(de)(Side A), Magic Disk 64 91 07 (1991)( )(de)(Side B), Magic Disk 64 91 08 (1991)( )(de)(Side A), Magic Disk 64 91 08 (1991)( )(de)(Side B), Magic Disk 64 91 09 (1991)( )(de)(Side A), Magic Disk 64 91 09 (1991)( )(de)(Side B), Magic Disk 64 91 10 (1991)( )(de)(Side A), Magic Disk 64 91 10 (1991)( )(de)(Side B), Magic Disk 64 91 11 (1991)( )(de)(Side A), Magic Disk 64 91 11 (1991)( )(de)(Side B), Magic Disk 64 91 12 (1991)( )(de)(Side A), Magic Disk 64 91 12 (1991)( )(de)(Side B), Magic Disk 64 92 01 (1992)( )(de)(Side A), Magic Disk 64 92 01 (1992)( )(de)(Side B), Magic Disk 64 92 02 (1992)( )(de)(Side A), Magic Disk 64 92 02 (1992)( )(de)(Side B), Magic Disk 64 92 03 (1992)( )(de)(Side A), Magic Disk 64 92 03 (1992)( )(de)(Side B), Magic Disk 64 92 04 (1992)( )(de)(Side A), Magic Disk 64 92 04 (1992)( )(de)(Side B), Magic Disk 64 92 06 (1992)( )(de)(Side A), Magic Disk 64 92 06 (1992)( )(de)(Side B), Magic Disk 64 92 07 (1992)( )(de)(Side A), Magic Disk 64 92 07 (1992)( )(de)(Side B), Magic Disk 64 92 09 (1992)( )(de)(Side A), Magic Disk 64 92 09 (1992)( )(de)(Side B), Magic Disk 64 92 10 (1992)( )(de)(Side A), Magic Disk 64 92 10 (1992)( )(de)(Side B), Magic Disk 64 92 11 (1992)( )(de)(Side A), Magic Disk 64 92 11 (1992)( )(de)(Side B), Magic Disk 64 92 12 (1992)( )(de)(Side A), Magic Disk 64 92 12 (1992)( )(de)(Side B), Magic Disk 64 93 01 (1993)( )(de)(Side A), Magic Disk 64 93 01 (1993)( )(de)(Side B), Magic Disk 64 93 02 (1993)( )(de)(Side A), Magic Disk 64 93 02 (1993)( )(de)(Side B), Magic Disk 64 93 03 (1993)( )(de)(Side A), Magic Disk 64 93 03 (1993)( )(de)(Side B), Magic Disk 64 93 04 (1993)( )(de)(Side A), Magic Disk 64 93 04 (1993)( )(de)(Side B), Magic Disk 64 93 06 (1993)( )(de)(Side A), Magic Disk 64 93 06 (1993)( )(de)(Side B), Magic Disk 64 93 07 (1993)( )(de)(Side A), Magic Disk 64 93 07 (1993)( )(de)(Side B), Magic Disk 64 93 09 (1993)( )(de)(Side A), Magic Disk 64 93 09 (1993)( )(de)(Side B), Magic Disk 64 93 10 (1993)( )(de)(Side A), Magic Disk 64 93 10 (1993)( )(de)(Side B), Magic Disk 64 93 11 (1993)( )(de)(Side A), Magic Disk 64 93 11 (1993)( )(de)(Side B), Magic Disk 64 93 12 (1993)( )(de)(Side A), Magic Disk 64 93 12 (1993)( )(de)(Side B), Magic Disk 64 94 01 (1994)( )(de)(Side A), Magic Disk 64 94 01 (1994)( )(de)(Side B), Magic Disk 64 94 02 (1994)( )(de)(Side A), Magic Disk 64 94 02 (1994)( )(de)(Side B), Magic Disk 64 94 03 (1994)( )(de)(Side A), Magic Disk 64 94 03 (1994)( )(de)(Side B), Magic Disk 64 94 04 (1994)( )(de)(Side A), Magic Disk 64 94 04 (1994)( )(de)(Side B), Magic Disk 64 94 05 (1994)( )(de)(Side A), Magic Disk 64 94 05 (1994)( )(de)(Side B), Magic Disk 64 94 06 (1994)( )(de)(Side A), Magic Disk 64 94 06 (1994)( )(de)(Side B), Magic Disk 64 94 07 (1994)( )(de)(Side A), Magic Disk 64 94 07 (1994)( )(de)(Side B), Magic Disk 64 94 08 (1994)( )(de)(Side A), Magic Disk 64 94 08 (1994)( )(de)(Side B), Magic Disk 64 94 09 (1994)( )(de)(Side A), Magic Disk 64 94 09 (1994)( )(de)(Side B), Magic Disk 64 94 10 (1994)( )(de)(Side A), Magic Disk 64 94 10 (1994)( )(de)(Side B), Magic Disk 64 94 11 (1994)( )(de)(Side A), Magic Disk 64 94 11 (1994)( )(de)(Side B), Magic Disk 64 94 12 (1994)( )(de)(Side A), Magic Disk 64 94 12 (1994)( )(de)(Side B), Magic Disk 64 95 01 (1995)( )(de)(Side A), Magic Disk 64 95 01 (1995)( )(de)(Side B), Magic Disk 64 95 02 (1995)( )(de)(Side A), Magic Disk 64 95 02 (1995)( )(de)(Side B), Magic Disk 64 95 03 (1995)( )(de)(Side A), Magic Disk 64 95 03 (1995)( )(de)(Side B), Magic Disk 64 95 04 (1995)( )(de)(Side A), Magic Disk 64 95 04 (1995)( )(de)(Side B), Magic Disk 64 95 05 (1995)( )(de)(Side A), Magic Disk 64 95 05 (1995)( )(de)(Side B), Magic Disk 64 95 06 (1995)( )(de)(Side A), Magic Disk 64 95 06 (1995)( )(de)(Side B), Magic Disk 64 95 08 (1995)( )(de)(Side A), Magic Disk 64 95 08 (1995)( )(de)(Side B), Magic Disk 64 95 09 (1995)( )(de)(Side A), Magic Disk 64 95 09 (1995)( )(de)(Side B), Magic Disk 64 95 10 (1995)( )(de)(Side A), Magic Disk 64 95 10 (1995)( )(de)(Side B), Magic Disk 64 95 11 (1995)( )(de)(Side A), Magic Disk 64 95 11 (1995)( )(de)(Side B), Magic Disk 64 95 12 (1995)( )(de)(Side A), Magic Disk 64 95 12 (1995)( )(de)(Side B), Magic Disk 64 96 01 (1996)( )(de)(Side A), Magic Disk 64 96 01 (1996)( )(de)(Side B)",
Magic L.O.T.U.,,,01.01.1990,01.01.1991,Commodore 64,"Magic L.O.T.U. #08, Magic L.O.T.U. #09, Magic L.O.T.U. #10, Magic L.O.T.U. #11, Magic L.O.T.U. #12, Magic L.O.T.U. #13, Magic L.O.T.U. #14, Magic L.O.T.U. #15, Magic L.O.T.U. #16",
Magic Lotu,English,,,,Commodore 64,"Magic Lotu #09 (1990)(Lotu), Magic Lotu #13 (1991 01 23)(Lotu), Magic Lotu #14 (1991)(Lotu), Magic Lotu #15 (1991)(Lotu)",
Magic Lotu Collection,English,,,,Commodore 64,Magic Lotu Collection #1 (199x)(Lotu),
Magic Mag,English,,01.01.1991,01.01.1991,Commodore 64,Magic Mag #02,
Magic News,English,,,,Commodore 64,"Magic News #09 (1989 09)( ), Magic News #10 (1989 10 25)( ), Magic News #11 (1989 11)( ), Magic News #12 (1989 12 23)( ), Magic News #13 (1990)( ), Magic News #xx (1989 08)( ), Magic News #xx (1989 08)(Action)",
Magic News 9/89,,,01.09.1989,01.09.1989,Commodore 64,Magic News 9/89,
Magic News April 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News April 1989,
Magic News August 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News August 1989,
Magic News December 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News December 1989,
Magic News Feburary 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News Feburary 1989,
Magic News January 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News January 1989,
Magic News January 1990,,,01.01.1990,01.01.1990,Commodore 64,Magic News January 1990,
Magic News July 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News July 1989,
Magic News June 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News June 1989,
Magic News March 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News March 1989,
Magic News May 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News May 1989,
Magic News November 1988,,,01.01.1988,01.01.1988,Commodore 64,Magic News November 1988,
Magic News November 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News November 1989,
Magic News October,,,11.12.1994,11.12.1994,Commodore 64,Magic News October 1988,
Magic News October 1988,,,01.01.1988,01.01.1988,Commodore 64,Magic News October 1988,
Magic News October 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News October 1989,
Magic News September 1989,,,01.01.1989,01.01.1989,Commodore 64,Magic News September 1989,
MagicNews DiskMag,,,,,Commodore 64,MagicNews DiskMag,
Magik Issue,,,11.02.1993,11.02.1993,MS-DOS,Magik Issue #1,
Magness,English,,01.01.1993,01.11.1994,Commodore 64,"Magness #1, Magness #2, Magness #3, Magness #4, Magness #5, Magness #6, Magness #7, Magness #8, Magness #9",
Magness Light,English,,01.01.1994,01.01.1994,Commodore 64,Magness Light #1,
Magnetic Dreams,English,,01.01.1989,01.01.1990,Commodore 64,"Magnetic Dreams #1, Magnetic Dreams #10, Magnetic Dreams #11, Magnetic Dreams #2, Magnetic Dreams #3, Magnetic Dreams #4, Magnetic Dreams #5, Magnetic Dreams #6, Magnetic Dreams #7, Magnetic Dreams #8, Magnetic Dreams #9",
Magnetic Fiction,English,,01.01.1996,01.01.1996,AMIGA,Magnetic Fiction,
Magnetic Fiction [Demo],English,,01.01.1996,01.01.1996,AMIGA,Magnetic Fiction [Demo],
Magnetic Media,English,,01.01.1991,01.04.1993,"AMIGA OCS/ECS, Commodore 64","Magnetic Media #1, Magnetic Media #2, Magnetic Media #3, Magnetic Media #4, Magnetic Media #5, Magnetic Media #6, Magnetic Media #7, Magnetic Media #8, Magnetic Media #9, Magnetic Media 1, Magnetic Media 2",
Magnetic Warrior,English,,,,Commodore 64,Magnetic Warrior 89 11 (1989)(Slam)(de)(Side A),
Magnum Mag,,,01.01.1992,30.08.1992,ATARI ST/E,"Magnum Mag 0, Magnum Mag 1, Magnum Mag 2, Magnum Mag 3",
Magpack Preview,,,01.01.1991,01.01.1991,AMIGA OCS/ECS,Magpack Preview 1991,
Magyar Mehesz,English,,,,Commodore 64,"Magyar Mehesz #1, Magyar Mehesz #2, Magyar Mehesz #3, Magyar Mehesz #4, Magyar Mehesz #5",
Magyar Méhész,English,,01.01.1991,01.01.1994,Commodore 64,"Magyar Mehesz #1 (19xx)(Faces), Magyar Mehesz #2 (19xx)(Faces), Magyar Mehesz #3 (1991)(Faces), Magyar Mehesz #4 (19xx)(Faces), Magyar Mehesz #5 (19xx)(Faces)(Side A), Magyar Méhész #1 [hungarian], Magyar Méhész #2 [hungarian], Magyar Méhész #3 [hungarian], Magyar Méhész #4 [hungarian], Magyar Méhész #5 [hungarian]",
Mail Madness,English,,01.01.1991,27.10.2007,Commodore 64,"Mail Madness #10+11, Mail Madness 1, Mail Madness 12, Mail Madness 13, Mail Madness 14, Mail Madness 15, Mail Madness 16, Mail Madness 17, Mail Madness 18, Mail Madness 19, Mail Madness 2, Mail Madness 22, Mail Madness 25, Mail Madness 26, Mail Madness 27, Mail Madness 28, Mail Madness 29, Mail Madness 3, Mail Madness 30, Mail Madness 31, Mail Madness 32, Mail Madness 33, Mail Madness 34, Mail Madness 35, Mail Madness 36, Mail Madness 37, Mail Madness 38, Mail Madness 39, Mail Madness 4, Mail Madness 40, Mail Madness 41, Mail Madness 42, Mail Madness 43, Mail Madness 44, Mail Madness 45, Mail Madness 46, Mail Madness 47, Mail Madness 48, Mail Madness 49, Mail Madness 5, Mail Madness 50, Mail Madness 51, Mail Madness 52, Mail Madness 53, Mail Madness 54, Mail Madness 55, Mail Madness 56, Mail Madness 57, Mail Madness 58, Mail Madness 6, Mail Madness 7, Mail Madness 8, Mail Madness 9, Mail Madness! #01 (19xx)( )(Side A), Mail Madness! #02 (19xx)( )(Side A), Mail Madness! #03 (19xx)( )(Side A), Mail Madness! #04 (19xx)( )(Side A), Mail Madness! #05 (19xx)( )(Side A), Mail Madness! #06 (19xx)( )(Side A), Mail Madness! #07 (19xx)( )(Side A), Mail Madness! #08 (19xx)( )(Side A), Mail Madness! #09 (19xx)( )(Side A), Mail Madness! #10 & #11 (19xx)( )(Side A), Mail Madness! #13 (19xx)( )(Side A), Mail Madness! #14 (19xx)( )(Side A), Mail Madness! #17 (19xx)( )(Side A), Mail Madness! #19, Mail Madness! #20&21 (1999)( )(Side A), Mail Madness! #20-21, Mail Madness! #22, Mail Madness! #23-24, Mail Madness! #25, Mail Madness! #26, Mail Madness! #27, Mail Madness! #28, Mail Madness! #29, Mail Madness! #30, Mail Madness! #31, Mail Madness! #32, Mail Madness! #33, Mail Madness! #34, Mail Madness! #35, Mail Madness! #36, Mail Madness! #37, Mail Madness! #38, Mail Madness! #39, Mail Madness! #40, Mail Madness! #41, Mail Madness! #42, Mail Madness! #43, Mail Madness! #44, Mail Madness! #45, Mail Madness! #46, Mail Madness! #47, Mail Madness! #48, Mail Madness! #49, Mail Madness! #50, Mail Madness! #51, Mail Madness! #52 (2003 08 10)(Raiders of the Lost Empire), Mail Madness! #53, Mail Madness! #54 (2007 01 23)(Raiders of the Lost Empire)(Side A), Mail Madness! #55 (2007 03 21)(Raiders of the Lost Empire)(Side A), Mail Madness! #56 (2007 06 04)(Raiders of the Lost Empire)(Side A), Mail Madness! #57 (2007 08 08)(Raiders of the Lost Empire)(Side A), Mail Madness! #58 (2007 10)(Raiders of the Lost Empire)",
Mail Madness 10+11,,,27.10.2007,27.10.2007,Commodore 64,Mail Madness 10+11,
Mail Madness 20+21,,,19.06.1999,19.06.1999,Commodore 64,Mail Madness 20+21,
Mail Madness 23+24,,,04.12.1999,04.12.1999,Commodore 64,Mail Madness 23+24,
Malevolent Creations,,,11.04.1994,24.11.1998,AMIGA OCS/ECS,"Malevolent Creations 01, Malevolent Creations 02, Malevolent Creations 03, Malevolent Creations 04, Malevolent Creations 05, Malevolent Creations 06, Malevolent Creations 07, Malevolent Creations 08, Malevolent Creations 09, Malevolent Creations 10, Malevolent Creations 11, Malevolent Creations 12, Malevolent Creations 13, Malevolent Creations 14",
Mamba,English,,01.01.1989,24.11.1998,Commodore 64,"Mamba 1, Mamba 10, Mamba 11, Mamba 12, Mamba 13, Mamba 14, Mamba 15, Mamba 16, Mamba 17, Mamba 18, Mamba 19, Mamba 2, Mamba 20, Mamba 21, Mamba 22, Mamba 23, Mamba 24, Mamba 25, Mamba 3, Mamba 4, Mamba 5, Mamba 6, Mamba 7, Mamba 8, Mamba 9",
Man Of War Review,,,06.09.1997,06.09.1997,MS-DOS,Man Of War Review,
Maniac Magazine,,,01.12.1993,06.09.1997,MS-DOS,Maniac Magazine 1,
Manipulation,English,,,,Commodore 64,Manipulation #1 (1991)( ),
Mantronix News,,,01.01.1988,01.01.1988,Commodore 64,"Mantronix News, Mantronix News #2, Mantronix News #3",
Marazm,Russian,Belarus,01.01.1998,01.01.2001,ZX Spectrum,"Marazm #01, Marazm #02, Marazm #03, Marazm #04, Marazm #05, Marazm #06, Marazm #07, Marazm #08, Marazm #09, Marazm #10, Marazm #11, Marazm #12, Marazm #13, Marazm #14, Marazm #15, Marazm #16, Marazm #17, Marazm #18, Marazm #19, Marazm #20, Marazm #21, Marazm #22, Marazm #23, Marazm #24, Marazm #25",
Marble Drop (For Win95) Review,,,25.02.1997,25.02.1997,MS-DOS,Marble Drop (For Win95) Review,
Mask,,,11.08.1997,12.08.1997,ZX Spectrum,Mask #00,
Massive Mag,,,20.02.1992,14.11.1992,"ATARI ST/E, Atari ST","Massive Mag 1, Massive Mag 2, Massive Mag 3, Massive Mag 4",
Master Of Orion Review,,,22.09.1993,22.09.1993,MS-DOS,Master Of Orion Review,
Masters Of Orion Review,,,18.09.1993,18.09.1993,MS-DOS,Masters Of Orion Review,
Matrix,Russian,Belarus,01.12.2003,01.12.2003,ZX Spectrum,Matrix #01,
Maullar_Maullar magazine,,,19.06.1999,20.08.1999,MS-DOS,"Maullar_Maullar magazine #1, Maullar_Maullar magazine #2, Maullar_Maullar magazine #3, Maullar_Maullar magazine #4",
Max Pictures Sexual News,Russian,Russia,09.09.1997,09.09.1997,ZX Spectrum,"Max Pictures Sexual News #01, Max Pictures Sexual News #02",
Maxi Micro,,,01.01.1992,01.01.1992,AMSTRAD CPC,Maxi Micro #8,
Maximum,Russian,Russia,07.06.1996,25.07.1998,ZX Spectrum,"Maximum #00, Maximum #01, Maximum #02, Maximum #03, Maximum #04, Maximum #05, Maximum #06, Maximum #07, Maximum #08, Maximum #09, Maximum #10, Maximum #11, Maximum #12, Maximum #13, Maximum #14, Maximum #15, Maximum #16, Maximum #17, Maximum #18, Maximum #19, Maximum #20, Maximum #21, Maximum #22, Maximum #23, Maximum #24, Maximum #25, Maximum #26, Maximum #27, Maximum #28, Maximum #29, Maximum #30, Maximum #31, Maximum #32, Maximum #33, Maximum #34, Maximum #35, Maximum #36, Maximum #37, Maximum #38, Maximum #39, Maximum #40, Maximum #41, Maximum #42, Maximum #43, Maximum #44, Maximum #45, Maximum #46, Maximum #47",
Mayhem,,,01.08.1993,01.08.1993,MS-DOS,Mayhem #1,
McDisk,English,,01.08.1991,11.09.1992,AMIGA OCS/ECS,"McDisk 1, McDisk 2, McDisk 3, McDisk 4, McDisk 5",
Meat Puppets Review,,,29.06.1997,29.06.1997,MS-DOS,Meat Puppets Review,
Mega Disc,,,01.01.1988,01.01.1988,AMIGA OCS/ECS,Mega Disc 9,
Mega Issue,,,01.01.1988,01.01.1988,ATARI ST/E,"Mega Issue 1, Mega Issue 2, Mega Issue 3, Mega Issue 4",
Mega Madness,English,,01.01.1991,01.09.1992,Commodore 64,"Mega Madness #1, Mega Madness #2, Mega Madness #2 +F, Mega Madness #3, Mega Madness #4, Mega Madness #5, Mega Madness #6, Mega Madness #7, Mega Madness #9, Mega Madness 10",
