Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues]
Advanced Pirate Technology Magazine,unknown,unknown,07.02.1993,07.02.1993,MS-DOS,"Advanced Pirate Technology Magazine 1, Advanced Pirate Technology Magazine 2, Advanced Pirate Technology Magazine 3"
Adventure Clues and Answers,unknown,unknown,01.01.1986,01.01.1986,COMMODORE 64,Adventure Clues and Answers
Adventurer,unknown,unknown,01.01.1986,01.01.2000,ZX SPECTRUM,"Adventurer 1, Adventurer 2, Adventurer 3, Adventurer 4, Adventurer 5, Adventurer 6, Adventurer 7, Adventurer 8, Adventurer 9, Adventurer 10, Adventurer 11, Adventurer 12, Adventurer 13, Adventurer 14, Adventurer 15"
The Adventures Of Lomax Review,unknown,unknown,28.05.1997,28.05.1997,MS-DOS,The Adventures Of Lomax Review
Adviser,unknown,unknown,01.01.1991,28.09.1991,COMMODORE 64,"Adviser 1, Adviser 2, Adviser 3"
Adwarp,unknown,unknown,10.04.1997,10.04.1997,COMMODORE 64,Adwarp #1 (english)
Aesthetic,unknown,unknown,28.08.1996,28.08.1996,MS-DOS,Aesthetic 4
Affinity,unknown,unknown,10.08.1996,08.09.1996,MS-DOS,"Affinity 1, Affinity 2, Affinity 3, Affinity 4"
AfterCover Issue,unknown,unknown,19.09.1999,19.09.1999,ATARI ST/E,AfterCover Issue 0001
Aggression,unknown,unknown,11.04.1994,28.11.1994,"AMIGA OCS/ECS, AMIGA AGA","Aggression #1, Aggression 2"
Agnus,unknown,unknown,28.11.1994,28.11.1994,AMIGA OCS/ECS,"Agnus 1, Agnus 2"
Agony,unknown,unknown,28.11.1994,28.11.1994,MS-DOS,Agony #01
AH-64D Longbow Gold Review,unknown,unknown,02.04.1997,02.04.1997,MS-DOS,AH-64D Longbow Gold Review
AIM Lit MiniMag,unknown,unknown,02.04.1997,02.04.1997,MS-DOS,AIM Lit MiniMag
Air Warrior 2 Review,unknown,unknown,26.02.1997,26.02.1997,MS-DOS,Air Warrior 2 Review
Airline Simulator 97 Review,unknown,unknown,13.03.1997,13.03.1997,MS-DOS,Airline Simulator 97 Review
Alamakota,unknown,unknown,10.05.1991,01.01.1992,AMIGA OCS/ECS,"Alamakota 0, Alamakota 1, Alamakota 2, Alamakota 3"
Albion Issue,unknown,unknown,01.01.1992,01.01.1992,ATARI ST/E,"Albion Issue #00, Albion Issue #01"
Ale Jaja,unknown,unknown,01.01.1994,01.01.1994,AMIGA OCS/ECS,Ale Jaja
Alfa & Omega,unknown,unknown,01.01.1995,01.01.1995,AMIGA OCS/ECS,Alfa & Omega 0
Aliens Ahead - Experience X,unknown,unknown,12.02.1995,12.02.1995,AMIGA AGA,Aliens Ahead - Experience X
Alive,unknown,unknown,10.11.2000,23.12.2005,"ATARI FALCON, ATARI ST/E","Alive #01, Alive #02, Alive #03, Alive #04, Alive #05, Alive #06, Alive #07, Alive #08, Alive #09, Alive #10, Alive #11, Alive #12, Alive #13, Alive #14"
Alive Special Edition (Error in Line 2001),unknown,unknown,23.12.2005,23.12.2005,"ATARI FALCON, ATARI ST/E",Alive Special Edition (Error in Line 2001)
The Almighty,unknown,unknown,30.01.1994,30.01.1994,AMIGA OCS/ECS,The Almighty 1
Alone In The Dark 2 Solve,unknown,unknown,11.01.1994,11.01.1994,MS-DOS,Alone In The Dark 2 Solve
Alpha Storm Review,unknown,unknown,06.03.1997,06.03.1997,MS-DOS,Alpha Storm Review
Alt-1,unknown,unknown,06.03.1997,06.03.1997,MS-DOS,"Alt-1 11, Alt-1 12, Alt-1 13, Alt-1 14, Alt-1 16"
Alt-176,unknown,unknown,06.03.1997,06.03.1997,MS-DOS,Alt-176 2
Altered Reality Issue,unknown,unknown,01.03.1993,01.03.1993,MS-DOS,Altered Reality Issue 1
Amazine,unknown,unknown,01.01.1993,01.03.1993,ATARI ST/E,"Amazine 1, Amazine 2, Amazine 3, Amazine 4"
Amber,unknown,unknown,01.01.1993,01.01.1993,MS-DOS,"Amber 1, Amber 2"
Ambition,unknown,unknown,01.01.1993,01.01.1993,COMMODORE 64,"Ambition 1, Ambition 2, Ambition 3, Ambition 4"
AMC Magazin 01/1988,unknown,unknown,01.01.1993,01.01.1993,ATARI 8 BIT,AMC Magazin 01/1988
Amiga CS,unknown,unknown,12.05.1995,12.05.1995,AMIGA AGA,Amiga CS 002
Amiga Dreams,unknown,unknown,12.05.1995,26.08.1996,AMIGA OCS/ECS,"Amiga Dreams 6, Amiga Dreams 7, Amiga Dreams 8"
Amiga Flash,unknown,unknown,01.01.1993,09.01.1994,AMIGA OCS/ECS,"Amiga Flash 1, Amiga Flash 2, Amiga Flash 3, Amiga Flash #4 pre-release"
Amiga Frontier,unknown,unknown,01.01.1996,01.01.1996,AMIGA OCS/ECS,"Amiga Frontier 4, Amiga Frontier 5"
Amiga Game Project,unknown,unknown,14.05.1995,01.01.1996,AMIGA OCS/ECS,"Amiga Game Project 2, Amiga Game Project 3, Amiga Game Project 4"
Amiga News,unknown,unknown,01.01.1989,01.01.1989,AMIGA OCS/ECS,Amiga News 1
Amiga News - Preview,unknown,unknown,01.01.1989,01.01.1989,AMIGA OCS/ECS,Amiga News - Preview
Amiga Positive,unknown,unknown,27.06.2000,05.04.2003,"AMIGA PPC/RTG, AMIGA AGA","Amiga Positive 13, Amiga Positive 14, Amiga Positive 15, Amiga Positive 16, Amiga Positive 17"
Amiga Times,unknown,unknown,17.05.1989,17.05.1989,AMIGA OCS/ECS,Amiga Times 3
AmigaCS,unknown,unknown,21.03.1998,20.12.1998,AMIGA AGA,"AmigaCS 1, AmigaCS 2, AmigaCS 3, AmigaCS 4"
AMIGAzine,unknown,unknown,26.01.1987,26.01.1987,AMIGA OCS/ECS,AMIGAzine
Amnesia,unknown,unknown,10.07.1991,01.06.1992,AMIGA OCS/ECS,"Amnesia 5, Amnesia 6, Amnesia 7, Amnesia 8, Amnesia 9"
Amulets And Armor Review,unknown,unknown,05.03.1997,05.03.1997,MS-DOS,Amulets And Armor Review
Analysis,unknown,unknown,13.08.2016,13.08.2016,BROWSER,Analysis
Anarchist Magazine,unknown,unknown,01.01.1997,01.01.1997,AMIGA OCS/ECS,Anarchist Magazine 1
Anarchy,unknown,unknown,01.01.1997,01.01.1997,COMMODORE 64,Anarchy #1
Anemia,unknown,unknown,01.01.1997,02.03.1997,MS-DOS,"Anemia 1, Anemia 2, Anemia 3, Anemia 4, Anemia 5, Anemia 6"
Anime-X,unknown,unknown,21.08.1999,21.08.1999,AMIGA OCS/ECS,Anime-X
Anormal,unknown,unknown,21.08.1999,21.08.1999,MS-DOS,"Anormal #1, Anormal #3"
AnotherMag,unknown,unknown,21.08.1999,21.08.1999,MS-DOS,AnotherMag 1
Anty Dresiarz,unknown,unknown,24.05.1997,21.08.1999,AMIGA AGA,"Anty Dresiarz 0, Anty Dresiarz 1, Anty Dresiarz 2, Anty Dresiarz 3, Anty Dresiarz 4"
Anty SS Zine,unknown,unknown,01.01.1997,01.01.1997,ATARI 8 BIT,Anty SS Zine #1
Apocalypse Time,unknown,unknown,18.06.1997,18.06.1997,ATARI 8 BIT,Apocalypse Time #1
Arachnophobia,unknown,unknown,01.08.1996,20.04.2006,COMMODORE 64,"Arachnophobia 1, Arachnophobia 2, Arachnophobia 3, Arachnophobia 4, Arachnophobia 5, Arachnophobia 6, Arachnophobia 7, Arachnophobia 8, Arachnophobia 9, Arachnophobia 10, Arachnophobia 11, Arachnophobia 12, Arachnophobia 13, Arachnophobia 14, Arachnophobia 15, Arachnophobia 16, Arachnophobia 17, Arachnophobia 18, Arachnophobia 19, Arachnophobia 20, Arachnophobia 21, Arachnophobia 22, Arachnophobia 23, Arachnophobia 24, Arachnophobia 25, Arachnophobia 26, Arachnophobia 27, Arachnophobia 28, Arachnophobia 29, Arachnophobia 30, Arachnophobia 31, Arachnophobia 32, Arachnophobia 32.5, Arachnophobia 33, Arachnophobia 34, Arachnophobia 35"
Arcade,unknown,unknown,01.01.1992,01.01.1992,COMMODORE 64,Arcade 1
Are We The Best?,unknown,unknown,24.12.1991,01.01.1992,COMMODORE 64,"Are We The Best? 1, Are We The Best? 2, Are We The Best? 3, Are We The Best? 4, Are We The Best? 5, Are We The Best? 6, Are We The Best? 7"
Arendal Party Message Box,unknown,unknown,28.09.1991,28.09.1991,AMIGA OCS/ECS,Arendal Party Message Box
ARG-ST - Issue One,unknown,unknown,01.03.1995,01.03.1995,ATARI ST/E,ARG-ST - Issue One
Artpack 02/2000,unknown,unknown,01.03.1995,01.03.1995,WINDOWS,Artpack 02/2000
Artpack 04/2000,unknown,unknown,01.03.1995,01.03.1995,WINDOWS,Artpack 04/2000
Artpack 06/2000,unknown,unknown,01.03.1995,01.03.1995,WINDOWS,Artpack 06/2000
Artpack 08/2000,unknown,unknown,01.03.1995,01.03.1995,WINDOWS,Artpack 08/2000
Artpack 10/2000,unknown,unknown,01.03.1995,01.03.1995,WINDOWS,Artpack 10/2000
Artpack 12/2000,unknown,unknown,01.03.1995,01.03.1995,WINDOWS,Artpack 12/2000
Ascii Express Issue,unknown,unknown,18.03.2022,18.03.2022,AMIGA OCS/ECS,Ascii Express Issue 1
Ascii Gazette,unknown,unknown,21.01.1996,25.02.1996,AMIGA OCS/ECS,"Ascii Gazette 2, Ascii Gazette 3"
Ascii Pack,unknown,unknown,20.09.1999,20.09.1999,AMIGA OCS/ECS,Ascii Pack 00
Aspirin,unknown,unknown,20.09.1999,20.09.1999,AMIGA OCS/ECS,Aspirin 1
Assembly 1994 Report,unknown,unknown,20.09.1999,20.09.1999,MS-DOS,Assembly 1994 Report
Asterix And Obelix Review,unknown,unknown,09.04.1997,09.04.1997,MS-DOS,Asterix And Obelix Review
Astoria,unknown,unknown,18.08.1993,28.01.1994,COMMODORE 64,"Astoria 1, Astoria 2, Astoria 3, Astoria #4, Astoria #5, Astoria 6"
Astoria osiem-1,unknown,unknown,01.01.1994,01.01.1994,COMMODORE 64,Astoria osiem-1
Atari Dream Machines Ausgabe,unknown,unknown,23.10.1994,28.04.1996,ATARI FALCON,"Atari Dream Machines Ausgabe 1, Atari Dream Machines Ausgabe 2, Atari Dream Machines Ausgabe 3, Atari Dream Machines Ausgabe 4, Atari Dream Machines Ausgabe 5, Atari Dream Machines Ausgabe 6, Atari Dream Machines Ausgabe 7"
Atari Update – Issue One,unknown,unknown,15.07.1994,15.07.1994,ATARI ST/E,Atari Update – Issue One
ATF Gold Edition Review,unknown,unknown,28.03.1997,28.03.1997,MS-DOS,ATF Gold Edition Review
Atomic News,unknown,unknown,01.01.1989,16.07.1989,COMMODORE 64,"Atomic News #000, Atomic News #2, Atomic News #3, Atomic News #4, Atomic News #5"
Attitude,unknown,unknown,17.04.2000,13.12.2021,COMMODORE 64,"Attitude 1, Attitude 2, Attitude #3, Attitude #4, Attitude #5, Attitude #6, Attitude #7, Attitude #8, Attitude #9, Attitude #10, Attitude #11, Attitude #12, Attitude #13, Attitude #14, Attitude 15, Attitude 16, Attitude 17, Attitude 18, Attitude #19, Attitude #20, Attitude #21"
Audial Talk,unknown,unknown,26.02.1994,08.09.1994,AMIGA OCS/ECS,"Audial Talk 1, Audial Talk 2"
AUG Disk Mag,unknown,unknown,08.09.1994,08.09.1994,ATARI ST/E,"AUG Disk Mag 1, AUG Disk Mag 2"
Auschwitz,unknown,unknown,08.09.1994,08.09.1994,AMIGA OCS/ECS,Auschwitz 10
Auschwitz 12 Charts,unknown,unknown,08.09.1994,08.09.1994,AMIGA OCS/ECS,Auschwitz 12 Charts
Auschwitz 12 Magazine,unknown,unknown,08.09.1994,08.09.1994,AMIGA OCS/ECS,Auschwitz 12 Magazine
Australian Scene Charts,unknown,unknown,09.09.1995,09.09.1995,AMIGA OCS/ECS,Australian Scene Charts 1
Autark,unknown,unknown,09.09.1995,09.09.1995,MS-DOS,Autark #1
Autark pre issue,unknown,unknown,09.09.1995,09.09.1995,MS-DOS,Autark pre issue
AV8B Harrier Assault Review,unknown,unknown,10.09.1993,10.09.1993,MS-DOS,AV8B Harrier Assault Review
Axelerator Review,unknown,unknown,25.05.1997,25.05.1997,MS-DOS,Axelerator Review
The B.O.S. Diskzine,unknown,unknown,20.09.1995,20.09.1995,ATARI ST/E,"The B.O.S. Diskzine 1, The B.O.S. Diskzine 2"
Bad Mag Issue,unknown,unknown,20.09.1995,20.09.1995,AMSTRAD CPC,"Bad Mag Issue 1, Bad Mag Issue 2"
Bad News,unknown,unknown,21.06.1992,05.04.1996,MS-DOS,"Bad News 0, Bad News 1, Bad News 2, Bad News 3, Bad News 4, Bad News #8 (nsfw), Bad News #9 (nsfw)"
The Bad Tongue,unknown,unknown,01.01.1987,22.02.1991,AMIGA OCS/ECS,"The Bad Tongue 0, The Bad Tongue 4, The Bad Tongue 5, The Bad Tongue 6, The Bad Tongue 9"
Bad Tongue,unknown,unknown,01.01.1988,04.06.1990,AMIGA OCS/ECS,"Bad Tongue 1, Bad Tongue 3, Bad Tongue 7, Bad Tongue 10"
The Bad Tongue 8 - Special Issue,unknown,unknown,01.01.1990,01.01.1990,AMIGA OCS/ECS,The Bad Tongue 8 - Special Issue
The Bad Tongue 11 - Special Issue,unknown,unknown,01.01.1990,01.01.1990,AMIGA OCS/ECS,The Bad Tongue 11 - Special Issue
Bad Tongue - Special Issue '89,unknown,unknown,11.06.1989,11.06.1989,AMIGA OCS/ECS,Bad Tongue - Special Issue '89
Badcat Mag 7/92,unknown,unknown,11.06.1989,11.06.1989,AMIGA OCS/ECS,Badcat Mag 7/92
Badsectors Disk Mag,unknown,unknown,01.01.1992,01.01.1992,ATARI ST/E,Badsectors Disk Mag #1
Bain 07/94,unknown,unknown,10.07.1994,10.07.1994,MS-DOS,Bain 07/94
Bajtek Show,unknown,unknown,10.07.1994,01.01.1996,ATARI 8 BIT,"Bajtek Show 1.0, Bajtek Show 2.0"
Banzai Bug Review,unknown,unknown,31.01.1997,31.01.1997,MS-DOS,Banzai Bug Review
Barbapapa,unknown,unknown,01.01.1994,31.01.1997,AMIGA OCS/ECS,"Barbapapa 1, Barbapapa 2, Barbapapa 3, Barbapapa 4"
Barbie Super Model Review,unknown,unknown,19.03.1994,19.03.1994,MS-DOS,Barbie Super Model Review
Barymag,unknown,unknown,01.01.1994,01.01.1996,ATARI 8 BIT,"Barymag #1, Barymag #2"
Baseball Mogul Review,unknown,unknown,13.07.1997,13.07.1997,MS-DOS,Baseball Mogul Review
Batman Forever Review,unknown,unknown,15.02.1996,15.02.1996,MS-DOS,Batman Forever Review
Battle Bugs Review,unknown,unknown,20.08.1994,20.08.1994,MS-DOS,Battle Bugs Review
Battle Europe Review,unknown,unknown,23.09.1993,23.09.1993,MS-DOS,Battle Europe Review
Battle Isle '93 The Moon Of Chronos Review,unknown,unknown,28.07.1993,28.07.1993,MS-DOS,Battle Isle '93 The Moon Of Chronos Review
Battle Sport Review,unknown,unknown,09.04.1997,09.04.1997,MS-DOS,Battle Sport Review
Battle Tank Europe Review,unknown,unknown,23.09.1993,23.09.1993,MS-DOS,Battle Tank Europe Review
Battleground 6: Napoleon In Russia Review,unknown,unknown,01.05.1997,01.05.1997,MS-DOS,Battleground 6: Napoleon In Russia Review
Bazar IV Mag,unknown,unknown,01.05.1997,01.05.1997,ATARI ST/E,Bazar IV Mag
Beam,unknown,unknown,01.05.1997,01.05.1997,MS-DOS,"Beam 1, Beam 2"
The Beast,unknown,unknown,01.05.1997,01.01.2003,WINDOWS,"The Beast #1, The Beast #2, The Beast #3, The Beast #4"
The Beergarden,unknown,unknown,10.10.1995,14.04.2001,COMMODORE 64,"The Beergarden 1, The Beergarden 2, The Beergarden 3, The Beergarden 4, The Beergarden 5, The Beergarden 6, The Beergarden 7, The Beergarden 8, The Beergarden 9, The Beergarden 10"
Belgian Glory,unknown,unknown,04.02.1995,04.02.1995,AMIGA OCS/ECS,Belgian Glory 6
Belgian Scene Report,unknown,unknown,04.02.1995,04.02.1995,MS-DOS,Belgian Scene Report 12
Belgian Scene Report issue,unknown,unknown,04.02.1995,04.02.1995,MS-DOS,"Belgian Scene Report issue 11, Belgian Scene Report issue 13"
Beneath A Steel Sky Review,unknown,unknown,18.03.1994,29.03.1994,MS-DOS,Beneath A Steel Sky Review
Beret,unknown,unknown,29.03.1994,26.11.1999,AMIGA AGA,"Beret 0.5, Beret 1, Beret 2, Beret 3, Beret 4"
Berlin Charts,unknown,unknown,26.11.1999,26.11.1999,AMIGA OCS/ECS,Berlin Charts
Beschuit Met Muisjes,unknown,unknown,26.11.1999,26.11.1999,AMIGA OCS/ECS,Beschuit Met Muisjes
The Best Of Issues 1-7!,unknown,unknown,26.11.1999,26.11.1999,ATARI ST/E,The Best Of Issues 1-7!
The Best Of Pokey Magazine Issue,unknown,unknown,01.01.1994,01.01.1994,ATARI 8 BIT,"The Best Of Pokey Magazine Issue 1, The Best Of Pokey Magazine Issue 2, The Best Of Pokey Magazine Issue 3"
Betrayal At Kondor Complete Solve,unknown,unknown,25.06.1993,25.06.1993,MS-DOS,Betrayal At Kondor Complete Solve
Betrayal At Kondor Hints,unknown,unknown,08.07.1993,08.07.1993,MS-DOS,Betrayal At Kondor Hints
Beverly Hills,unknown,unknown,08.07.1993,08.07.1993,AMIGA OCS/ECS,Beverly Hills 1
Beverly Hills 1 Preview,unknown,unknown,19.05.1991,19.05.1991,AMIGA OCS/ECS,Beverly Hills 1 Preview
Beyond Sanit-E,unknown,unknown,27.08.1995,20.08.1996,AMIGA OCS/ECS,"Beyond Sanit-E 1, Beyond Sanit-E 3, Beyond Sanit-E 4"
Beyond the Frontier,unknown,unknown,26.12.1996,10.10.1998,AMIGA OCS/ECS,"Beyond the Frontier 5, Beyond the Frontier 7"
Beyond The Horizon,unknown,unknown,05.02.1996,10.10.1998,MS-DOS,"Beyond The Horizon #1, Beyond The Horizon #2, Beyond The Horizon #3, Beyond The Horizon #4, Beyond The Horizon #5"
Big Business,unknown,unknown,21.04.1992,19.10.1992,AMIGA OCS/ECS,"Big Business 1, Big Business 2, Big Business 3, Big Business 4"
The Big Night Out Mag,unknown,unknown,19.10.1992,19.10.1992,ATARI ST/E,The Big Night Out Mag
Big Red Racing Review,unknown,unknown,01.04.1996,01.04.1996,MS-DOS,Big Red Racing Review
Bigoz,unknown,unknown,05.02.1995,23.03.1996,AMIGA OCS/ECS,"Bigoz 6, Bigoz 7, Bigoz 8, Bigoz 9, Bigoz 10, Bigoz 11, Bigoz 12"
Bigzine,unknown,unknown,23.03.1996,23.03.1996,ATARI 8 BIT,Bigzine #1
Bild Zeitung,unknown,unknown,23.03.1996,23.03.1996,COMMODORE 64,"Bild Zeitung 1, Bild Zeitung 2, Bild Zeitung 3, Bild Zeitung 4, Bild Zeitung 5, Bild Zeitung 6, Bild Zeitung 7"
Bim Bam,unknown,unknown,23.01.1994,15.05.1995,AMIGA AGA,"Bim Bam 1, Bim Bam 2, Bim Bam 3"
Binary Shift Issue,unknown,unknown,15.05.1995,15.05.1995,MS-DOS,Binary Shift Issue 1
Biometal,unknown,unknown,22.02.1996,15.07.1996,COMMODORE 64,"Biometal 2, Biometal 3, Biometal 4"
Bistro,unknown,unknown,23.12.1994,23.12.1994,MS-DOS,Bistro
Bitchslap,unknown,unknown,01.08.1995,01.08.1995,MS-DOS,Bitchslap #6
Bitmania,unknown,unknown,19.01.1991,26.06.1992,COMMODORE 64,"Bitmania 1, Bitmania 2, Bitmania 3, Bitmania 4, Bitmania 5, Bitmania 6, Bitmania 7, Bitmania 8, Bitmania 9, Bitmania 10, Bitmania 11, Bitmania 12, Bitmania 13, Bitmania 14"
Black Crow,unknown,unknown,01.01.2001,01.01.2001,ZX SPECTRUM,"Black Crow 5, Black Crow 7"
Blackmail,unknown,unknown,02.01.1993,02.01.1993,MS-DOS,"Blackmail #1, Blackmail #2, Blackmail #3, Blackmail #4, Blackmail #5, Blackmail #6, Blackmail #7, Blackmail #8, Blackmail #9, Blackmail #10, Blackmail #11, Blackmail #12"
Blaggy,unknown,unknown,02.01.1993,02.01.1993,AMIGA OCS/ECS,Blaggy 1
Blake Stone Review,unknown,unknown,23.11.1993,23.11.1993,MS-DOS,Blake Stone Review
Blaskan,unknown,unknown,01.01.1993,05.08.1993,AMIGA OCS/ECS,"Blaskan 1, Blaskan 2, Blaskan 3, Blaskan 4, Blaskan 5, Blaskan 6"
Blip Verts,unknown,unknown,01.01.1993,01.01.1993,AMIGA OCS/ECS,"Blip Verts 1, Blip Verts 2, Blip Verts 3.1, Blip Verts 4, Blip Verts 5"
Blister,unknown,unknown,01.03.1996,01.03.1996,MS-DOS,"Blister #1, Blister #2, Blister #3"
Blood Review,unknown,unknown,02.05.1997,02.05.1997,MS-DOS,Blood Review
Bloodstone Solve And Facts,unknown,unknown,19.07.1993,19.07.1993,MS-DOS,Bloodstone Solve And Facts
Blur,unknown,unknown,25.04.1994,14.08.1994,MS-DOS,"Blur #1, Blur #2, Blur #3"
Bob Kell's Disk List,unknown,unknown,14.08.1994,14.08.1994,ATARI ST/E,Bob Kell's Disk List
Bomba,unknown,unknown,14.08.1994,14.08.1994,ATARI ST/E,"Bomba 1, Bomba 2, Bomba 3, Bomba 4, Bomba 5"
Bomba KK,unknown,unknown,14.08.1994,14.08.1994,ATARI ST/E,Bomba KK
Boombastic,unknown,unknown,01.01.1996,01.08.1996,AMIGA AGA,"Boombastic 1, Boombastic 2"
Booster,unknown,unknown,01.08.1996,01.08.1996,MS-DOS,"Booster #1, Booster #2, Booster #3, Booster #4, Booster #5, Booster #6, Booster #7"
Bounty,unknown,unknown,11.01.1993,12.06.1994,AMIGA OCS/ECS,"Bounty 3, Bounty 4, Bounty 5, Bounty 9"
Box Ranger Dox,unknown,unknown,10.07.1993,10.07.1993,MS-DOS,Box Ranger Dox
Boxon,unknown,unknown,10.07.1993,10.07.1993,AMSTRAD CPC,Boxon 4
Brain Damage,unknown,unknown,12.11.1994,27.05.1996,"AMIGA OCS/ECS, AMIGA AGA","Brain Damage 1, Brain Damage 2, Brain Damage 3, Brain Damage 4"
Brain Degenerator,unknown,unknown,01.01.1993,19.07.1996,AMIGA OCS/ECS,"Brain Degenerator 2, Brain Degenerator 3, Brain Degenerator 4, Brain Degenerator 6, Brain Degenerator 7, Brain Degenerator 8"
Brix I & II Deluxe Review + Passcodes,unknown,unknown,15.03.1994,15.03.1994,MS-DOS,Brix I & II Deluxe Review + Passcodes
The Brucowietz,unknown,unknown,09.08.1995,09.08.1995,AMIGA AGA,The Brucowietz 0
Brudal Baddle (Shareware) Review,unknown,unknown,23.08.1994,23.08.1994,MS-DOS,Brudal Baddle (Shareware) Review
Brutal Recall,unknown,unknown,13.03.1991,11.03.1992,COMMODORE 64,"Brutal Recall 1, Brutal Recall 2, Brutal Recall 3, Brutal Recall 4, Brutal Recall 5, Brutal Recall 6, Brutal Recall 7, Brutal Recall 8, Brutal Recall 9, Brutal Recall 10, Brutal Recall 11, Brutal Recall 12, Brutal Recall 13"
BSS Magazine,unknown,unknown,11.03.1992,11.03.1992,ATARI 8 BIT,"BSS Magazine #1, BSS Magazine #2"
Buckaroo Banzai's The Ancient Art of Cracking,unknown,unknown,13.07.1992,13.07.1992,MS-DOS,Buckaroo Banzai's The Ancient Art of Cracking
Budyn,unknown,unknown,13.07.1992,01.01.2001,"MS-DOS, WINDOWS","Budyn 1, Budyn 2, Budyn 3, Budyn 4, Budyn 5"
Bull & Bear,unknown,unknown,01.01.1992,01.01.1992,AMIGA OCS/ECS,Bull & Bear 1
Bumerang,unknown,unknown,26.02.1995,26.02.1995,AMIGA OCS/ECS,Bumerang 5
Business,unknown,unknown,06.06.1989,26.02.1995,PAPER,"Business 3, Business 4"
The Busy Scene,unknown,unknown,31.08.1990,20.04.1991,COMMODORE 64,"The Busy Scene #01, The Busy Scene #02, The Busy Scene #05, The Busy Scene #06"
Buzz,unknown,unknown,03.02.1994,31.03.1995,"AMIGA OCS/ECS, AMIGA AGA","Buzz 1, Buzz 2, Buzz 3, Buzz 4, Buzz 5, Buzz 6, Buzz 7"
By the Way,unknown,unknown,01.01.1994,01.01.1994,AMIGA OCS/ECS,By the Way 2
Byte Times,unknown,unknown,01.01.1994,01.01.1994,COMMODORE 16/PLUS 4,Byte Times 00
Bytes Of Wisdom,unknown,unknown,18.04.1997,17.01.1998,MS-DOS,"Bytes Of Wisdom 1, Bytes Of Wisdom 2, Bytes Of Wisdom 3, Bytes Of Wisdom 4, Bytes Of Wisdom 5"
