issue,title,platform,group,release,release_converted,link,download_links,external_download_links
Domination #7,Domination,Commodore 64,,August 1996,01.08.1996,https://csdb.dk//release/?id=5132,"ftp://ftp.padua.org/pub/c64/Magazines/domination/domination7.zip, ftp://c64.rulez.org/pub/c64/Magazines/Domination/domination07.zip, http://csdb.dk/getinternalfile.php/64282/domination07.zip",http://ftp.pokefinder.org/index.php?s=Domination%207&sourceid=csdb
Domination #8,Domination,Commodore 64,,March 1997,01.03.1997,https://csdb.dk//release/?id=5112,"ftp://c64.rulez.org/pub/c64/Magazines/Domination/domination08.zip, ftp://ftp.padua.org/pub/c64/Magazines/domination/domination8.zip, http://csdb.dk/getinternalfile.php/69283/domination08-a.d64, http://csdb.dk/getinternalfile.php/64283/domination08.zip, http://csdb.dk/getinternalfile.php/69284/domination08-b.d64",http://ftp.pokefinder.org/index.php?s=Domination%208&sourceid=csdb
Domination #9,Domination,Commodore 64,,July 1997,01.07.1997,https://csdb.dk//release/?id=5197,"ftp://ftp.padua.org/pub/c64/Magazines/domination/domination9.zip, ftp://c64.rulez.org/pub/c64/Magazines/Domination/domination09.zip, http://csdb.dk/getinternalfile.php/64284/domination09.zip",http://ftp.pokefinder.org/index.php?s=Domination%209&sourceid=csdb
Dream #1,Dream,Commodore 64,Charged,29 June 1992,29.06.1992,https://csdb.dk//release/?id=34315,http://csdb.dk/getinternalfile.php/23651/dreams12.zip,http://ftp.pokefinder.org/index.php?s=Dream%201&sourceid=csdb
Dream #2,Dream,Commodore 64,Charged,3 September 1992,03.09.1992,https://csdb.dk//release/?id=34316,http://csdb.dk/getinternalfile.php/23651/dreams12.zip,http://ftp.pokefinder.org/index.php?s=Dream%202&sourceid=csdb
Dream #3,Dream,Commodore 64,Charged,28 December 1992,28.12.1992,https://csdb.dk//release/?id=34317,http://csdb.dk/getinternalfile.php/23652/dream3.zip,http://ftp.pokefinder.org/index.php?s=Dream%203&sourceid=csdb
Dream #4,Dream,Commodore 64,Charged,25 April 1993,25.04.1993,https://csdb.dk//release/?id=34318,http://csdb.dk/getinternalfile.php/23654/dream4.zip,http://ftp.pokefinder.org/index.php?s=Dream%204&sourceid=csdb
Dream #5,Dream,Commodore 64,Charged,31 September 1993,,https://csdb.dk//release/?id=34319,http://csdb.dk/getinternalfile.php/23655/dream5.zip,http://ftp.pokefinder.org/index.php?s=Dream%205&sourceid=csdb
Driven #1,Driven,Commodore 64,Driven Staff,13 August 1994,13.08.1994,https://csdb.dk//release/?id=3723,"http://csdb.dk/getinternalfile.php/49708/Driven-01.prg, http://csdb.dk/getinternalfile.php/78468/0142b.d64",http://ftp.pokefinder.org/index.php?s=Driven%201&sourceid=csdb
Driven #10,Driven,Commodore 64,Driven Staff,11 November 1995,11.11.1995,https://csdb.dk//release/?id=5250,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_10.zip, http://csdb.dk/getinternalfile.php/64294/Driven_10.zip, http://csdb.dk/getinternalfile.php/129014/001a.d64",http://ftp.pokefinder.org/index.php?s=Driven%2010&sourceid=csdb
Driven #11,Driven,Commodore 64,Driven Staff,21 January 1996,21.01.1996,https://csdb.dk//release/?id=5251,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_11.zip, http://csdb.dk/getinternalfile.php/64295/Driven_11.zip, http://csdb.dk/getinternalfile.php/78467/0142a.d64",http://ftp.pokefinder.org/index.php?s=Driven%2011&sourceid=csdb
Driven #12,Driven,Commodore 64,Driven Staff,6 March 1996,06.03.1996,https://csdb.dk//release/?id=5253,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_12.zip, http://csdb.dk/getinternalfile.php/64296/Driven_12.zip, http://csdb.dk/getinternalfile.php/78467/0142a.d64",http://ftp.pokefinder.org/index.php?s=Driven%2012&sourceid=csdb
Driven #13,Driven,Commodore 64,Driven Staff,8 May 1996,08.05.1996,https://csdb.dk//release/?id=5254,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_13.zip, http://csdb.dk/getinternalfile.php/64297/Driven_13.zip, http://csdb.dk/getinternalfile.php/78467/0142a.d64",http://ftp.pokefinder.org/index.php?s=Driven%2013&sourceid=csdb
Driven #14,Driven,Commodore 64,Driven Staff,5 June 1996,05.06.1996,https://csdb.dk//release/?id=7270,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_14.zip, http://csdb.dk/getinternalfile.php/64298/Driven_14.zip",http://ftp.pokefinder.org/index.php?s=Driven%2014&sourceid=csdb
Driven #15,Driven,Commodore 64,Driven Staff,22 July 1996,22.07.1996,https://csdb.dk//release/?id=5255,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_15.zip, http://csdb.dk/getinternalfile.php/64299/Driven_15.zip",http://ftp.pokefinder.org/index.php?s=Driven%2015&sourceid=csdb
Driven #16,Driven,Commodore 64,Driven Staff,5 September 1996,05.09.1996,https://csdb.dk//release/?id=5256,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_16.zip, http://csdb.dk/getinternalfile.php/64300/Driven_16.zip, http://csdb.dk/getinternalfile.php/78486/0153b.d64",http://ftp.pokefinder.org/index.php?s=Driven%2016&sourceid=csdb
Driven #17,Driven,Commodore 64,Driven Staff,October 1996,01.10.1996,https://csdb.dk//release/?id=4290,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_17.zip, http://csdb.dk/getinternalfile.php/1865/Driven-17.prg, http://csdb.dk/getinternalfile.php/78508/0168b.d64",http://ftp.pokefinder.org/index.php?s=Driven%2017&sourceid=csdb
Driven #18,Driven,Commodore 64,Driven Staff,14 December 1996,14.12.1996,https://csdb.dk//release/?id=4572,http://csdb.dk/getinternalfile.php/2746/Driven-18.prg,http://ftp.pokefinder.org/index.php?s=Driven%2018&sourceid=csdb
Driven #19,Driven,Commodore 64,Driven Staff,January 1997,01.01.1997,https://csdb.dk//release/?id=5257,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_19.zip, http://csdb.dk/getinternalfile.php/64301/Driven_19.zip",http://ftp.pokefinder.org/index.php?s=Driven%2019&sourceid=csdb
Driven #2,Driven,Commodore 64,Driven Staff,3 September 1994,03.09.1994,https://csdb.dk//release/?id=8496,"http://csdb.dk/getinternalfile.php/64302/Driven-02.prg, http://csdb.dk/getinternalfile.php/78468/0142b.d64",http://ftp.pokefinder.org/index.php?s=Driven%202&sourceid=csdb
Driven #20,Driven,Commodore 64,Driven Staff,20 March 1997,20.03.1997,https://csdb.dk//release/?id=3553,http://csdb.dk/getinternalfile.php/64307/Driven-20.prg,http://ftp.pokefinder.org/index.php?s=Driven%2020&sourceid=csdb
Driven #21,Driven,Commodore 64,Driven Staff,10 April 1997,10.04.1997,https://csdb.dk//release/?id=3552,http://csdb.dk/getinternalfile.php/64308/Driven-21.prg,http://ftp.pokefinder.org/index.php?s=Driven%2021&sourceid=csdb
Driven #22,Driven,Commodore 64,Driven Staff,8 May 1997,08.05.1997,https://csdb.dk//release/?id=3554,http://csdb.dk/getinternalfile.php/64309/Driven-22.prg,http://ftp.pokefinder.org/index.php?s=Driven%2022&sourceid=csdb
Driven #23,Driven,Commodore 64,Driven Staff,11 September 1997,11.09.1997,https://csdb.dk//release/?id=3555,http://csdb.dk/getinternalfile.php/64310/Driven-23.prg,http://ftp.pokefinder.org/index.php?s=Driven%2023&sourceid=csdb
Driven #24,Driven,Commodore 64,Driven Staff,October 1997,01.10.1997,https://csdb.dk//release/?id=5141,http://csdb.dk/getinternalfile.php/1748/driven_24.prg,http://ftp.pokefinder.org/index.php?s=Driven%2024&sourceid=csdb
Driven #25,Driven,Commodore 64,Driven Staff,January 1998,01.01.1998,https://csdb.dk//release/?id=5258,http://csdb.dk/getinternalfile.php/64311/Driven-25.prg,http://ftp.pokefinder.org/index.php?s=Driven%2025&sourceid=csdb
Driven #26,Driven,Commodore 64,Driven Staff,March 1998,01.03.1998,https://csdb.dk//release/?id=5259,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_26.zip, http://csdb.dk/getinternalfile.php/64312/Driven_26.zip",http://ftp.pokefinder.org/index.php?s=Driven%2026&sourceid=csdb
Driven #27,Driven,Commodore 64,Driven Staff,May 1998,01.05.1998,https://csdb.dk//release/?id=5128,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_27.zip, http://csdb.dk/getinternalfile.php/64313/Driven_27.zip",http://ftp.pokefinder.org/index.php?s=Driven%2027&sourceid=csdb
Driven #28,Driven,Commodore 64,Driven Staff,21 July 1998,21.07.1998,https://csdb.dk//release/?id=5260,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_28.zip, http://csdb.dk/getinternalfile.php/64314/Driven_28.zip",http://ftp.pokefinder.org/index.php?s=Driven%2028&sourceid=csdb
Driven #29,Driven,Commodore 64,Driven Staff,October 1998,01.10.1998,https://csdb.dk//release/?id=5261,http://csdb.dk/getinternalfile.php/182407/driven29.d64,http://ftp.pokefinder.org/index.php?s=Driven%2029&sourceid=csdb
Driven #3,Driven,Commodore 64,Driven Staff,5 October 1994,05.10.1994,https://csdb.dk//release/?id=8498,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_03.zip, http://csdb.dk/getinternalfile.php/64303/Driven_03.zip, http://csdb.dk/getinternalfile.php/78468/0142b.d64",http://ftp.pokefinder.org/index.php?s=Driven%203&sourceid=csdb
Driven #30,Driven,Commodore 64,Driven Staff,29 April 2005,29.04.2005,https://csdb.dk//release/?id=17978,http://csdb.dk/getinternalfile.php/6209/Driven-Issue_30.d64,http://ftp.pokefinder.org/index.php?s=Driven%2030&sourceid=csdb
Driven #31,Driven,Commodore 64,Driven Staff,11 June 2005,11.06.2005,https://csdb.dk//release/?id=18201,http://csdb.dk/getinternalfile.php/61093/Driven-Issue_31.d64,http://ftp.pokefinder.org/index.php?s=Driven%2031&sourceid=csdb
Driven #4,Driven,Commodore 64,Driven Staff,4 November 1994,04.11.1994,https://csdb.dk//release/?id=3562,http://csdb.dk/getinternalfile.php/64304/Driven-04.prg,http://ftp.pokefinder.org/index.php?s=Driven%204&sourceid=csdb
Driven #5,Driven,Commodore 64,Driven Staff,18 December 1994,18.12.1994,https://csdb.dk//release/?id=5247,http://csdb.dk/getinternalfile.php/3527/Driven #05.t64,http://ftp.pokefinder.org/index.php?s=Driven%205&sourceid=csdb
Driven #6,Driven,Commodore 64,Driven Staff,6 February 1995,06.02.1995,https://csdb.dk//release/?id=5248,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_06.zip, http://csdb.dk/getinternalfile.php/64305/Driven_06.zip",http://ftp.pokefinder.org/index.php?s=Driven%206&sourceid=csdb
Driven #7,Driven,Commodore 64,Driven Staff,8 April 1995,08.04.1995,https://csdb.dk//release/?id=8504,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_07.zip, http://csdb.dk/getinternalfile.php/40442/Driven_07.zip",http://ftp.pokefinder.org/index.php?s=Driven%207&sourceid=csdb
Driven #8,Driven,Commodore 64,Driven Staff,12 June 1995,12.06.1995,https://csdb.dk//release/?id=5249,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Driven/Driven_08.zip, http://csdb.dk/getinternalfile.php/64306/Driven_08.zip",http://ftp.pokefinder.org/index.php?s=Driven%208&sourceid=csdb
Driven #9,Driven,Commodore 64,Driven Staff,10 September 1995,10.09.1995,https://csdb.dk//release/?id=3728,http://csdb.dk/getinternalfile.php/62704/Driven-09.prg,http://ftp.pokefinder.org/index.php?s=Driven%209&sourceid=csdb
"Driven Charts April '96, Driven Charts 4/96",Driven,Commodore 64,Driven Staff,April 1996,01.04.1996,https://csdb.dk//release/?id=81931,http://csdb.dk/getinternalfile.php/78467/0142a.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%20496&sourceid=csdb
"Driven Charts April '97, Driven Charts 4/97",Driven,Commodore 64,Driven Staff,April 1997,01.04.1997,https://csdb.dk//release/?id=82068,http://csdb.dk/getinternalfile.php/78636/0305b.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%20497&sourceid=csdb
"Driven Charts August '96, Driven Charts 8/96",Driven,Commodore 64,Driven Staff,August 1996,01.08.1996,https://csdb.dk//release/?id=4680,"http://csdb.dk/getinternalfile.php/64315/DrivenChart-9608, http://csdb.dk/getinternalfile.php/78486/0153b.d64",http://ftp.pokefinder.org/index.php?s=Driven%20Charts%20896&sourceid=csdb
"Driven Charts August '97, Driven Charts 8/97",Driven,Commodore 64,Driven Staff,August 1997,01.08.1997,https://csdb.dk//release/?id=210132,http://csdb.dk/getinternalfile.php/220093/Driven_Charts_97.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%20897&sourceid=csdb
"Driven Charts December '95, Driven Charts 12/95",Driven,Commodore 64,Driven Staff,December 1995,01.12.1995,https://csdb.dk//release/?id=81930,http://csdb.dk/getinternalfile.php/78467/0142a.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%201295&sourceid=csdb
"Driven Charts December '96, Driven Charts 12/96",Driven,Commodore 64,Driven Staff,December 1996,01.12.1996,https://csdb.dk//release/?id=11683,http://csdb.dk/getinternalfile.php/14168/DrivenCharts-9612.prg,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%201296&sourceid=csdb
"Driven Charts February '97, Driven Charts 2/97",Driven,Commodore 64,Driven Staff,February 1997,01.02.1997,https://csdb.dk//release/?id=73228,http://csdb.dk/getinternalfile.php/68296/Driven_Charts_02_97.zip,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%20297&sourceid=csdb
"Driven Charts February '98, Driven Charts 2/98",Driven,Commodore 64,Driven Staff,February 1998,01.02.1998,https://csdb.dk//release/?id=210143,http://csdb.dk/getinternalfile.php/220106/Driven_Charts_98.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%20298&sourceid=csdb
"Driven Charts June '96, Driven Charts 6/96",Driven,Commodore 64,Driven Staff,June 1996,01.06.1996,https://csdb.dk//release/?id=81933,http://csdb.dk/getinternalfile.php/78468/0142b.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%20696&sourceid=csdb
"Driven Charts May '95, Driven Charts 5/95",Driven,Commodore 64,Driven Staff,May 1995,01.05.1995,https://csdb.dk//release/?id=168398,http://csdb.dk/getinternalfile.php/171611/DRIVEN_CHRT_5-95.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%20595&sourceid=csdb
"Driven Charts October '95, Driven Charts 10/95",Driven,Commodore 64,Driven Staff,October 1995,01.10.1995,https://csdb.dk//release/?id=167699,http://csdb.dk/getinternalfile.php/170840/Driven-Charts-10-95-DRIVEN-STAFF.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%201095&sourceid=csdb
"Driven Charts October '96, Driven Charts 10/96",Driven,Commodore 64,Driven Staff,October 1996,01.10.1996,https://csdb.dk//release/?id=81955,http://csdb.dk/getinternalfile.php/78508/0168b.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%201096&sourceid=csdb
"Driven Charts October '97, Driven Charts 10/97",Driven,Commodore 64,Driven Staff,October 1997,01.10.1997,https://csdb.dk//release/?id=210142,http://csdb.dk/getinternalfile.php/220105/Driven_Charts_97.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Charts%201097&sourceid=csdb
Driven Special - Scope,Driven,Commodore 64,Driven Staff,1 July 1995,01.07.1995,https://csdb.dk//release/?id=81952,http://csdb.dk/getinternalfile.php/78492/0159a.d64,http://ftp.pokefinder.org/index.php?s=Driven%20Special%20%20Scope&sourceid=csdb
Driven Special 4k-1,Driven,Commodore 64,Driven Staff,12 August 1996,12.08.1996,https://csdb.dk//release/?id=3727,http://csdb.dk/getinternalfile.php/64316/Driven_Special_4K.zip,http://ftp.pokefinder.org/index.php?s=Driven%20Special%204k1&sourceid=csdb
Driven Special 4k-2,Driven,Commodore 64,Driven Staff,April 1998,01.04.1998,https://csdb.dk//release/?id=5262,http://csdb.dk/getinternalfile.php/64317/Driven_4k-II_Special.prg,http://ftp.pokefinder.org/index.php?s=Driven%20Special%204k2&sourceid=csdb
Driven Waveform Tribute,Driven,Commodore 64,Driven Staff,28 August 1997,28.08.1997,https://csdb.dk//release/?id=138255,http://csdb.dk/getinternalfile.php/138270/DrivenWaveformTribute.prg,http://ftp.pokefinder.org/index.php?s=Driven%20Waveform%20Tribute&sourceid=csdb
"DT 01, Digital Talk #01 [german]",Digital Talk,Commodore 64,Digital Talk,1 July 1993,01.07.1993,https://csdb.dk//release/?id=88401,http://csdb.dk/getinternalfile.php/85328/dt01.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2001%20german&sourceid=csdb
"DT 01-ENG, Digital Talk #01 - English Edition",Digital Talk,Commodore 64,Digital Talk,28 July 1999,28.07.1999,https://csdb.dk//release/?id=5771,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Digital_Talk/DigitalTalk_01.zip, http://csdb.dk/getinternalfile.php/64259/DigitalTalk_01.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2001%20%20English%20Edition&sourceid=csdb
"DT 02, Digital Talk #02 [german]",Digital Talk,Commodore 64,Digital Talk,1 August 1993,01.08.1993,https://csdb.dk//release/?id=5773,"ftp://ftp.padua.org/pub/c64/Magazines/digital_talk/DigitalTalk02.lzh, http://csdb.dk/getinternalfile.php/64260/dt02.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2002%20german&sourceid=csdb
"DT 03, Digital Talk #03 [german]",Digital Talk,Commodore 64,Digital Talk,18 October 1993,18.10.1993,https://csdb.dk//release/?id=5774,"ftp://ftp.padua.org/pub/c64/Magazines/digital_talk/DigitalTalk03.lzh, http://csdb.dk/getinternalfile.php/64261/003.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2003%20german&sourceid=csdb
"DT 04, Digital Talk #04 [german]",Digital Talk,Commodore 64,Digital Talk,10 December 1993,10.12.1993,https://csdb.dk//release/?id=5775,http://csdb.dk/getinternalfile.php/885/digitaltalk04.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2004%20german&sourceid=csdb
"DT 05, Digital Talk #05 [german]",Digital Talk,Commodore 64,Digital Talk,30 January 1994,30.01.1994,https://csdb.dk//release/?id=5776,http://csdb.dk/getinternalfile.php/886/digitaltalk05.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2005%20german&sourceid=csdb
"DT 06, Digital Talk #06 [german]",Digital Talk,Commodore 64,Digital Talk,1 March 1994,01.03.1994,https://csdb.dk//release/?id=5777,http://csdb.dk/getinternalfile.php/887/digitaltalk06.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2006%20german&sourceid=csdb
"DT 07, Digital Talk #07 [german]",Digital Talk,Commodore 64,Digital Talk,30 May 1994,30.05.1994,https://csdb.dk//release/?id=5778,http://csdb.dk/getinternalfile.php/888/digitaltalk07.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2007%20german&sourceid=csdb
"DT 08, Digital Talk #08 [german]",Digital Talk,Commodore 64,Digital Talk,17 July 1994,17.07.1994,https://csdb.dk//release/?id=5779,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Digital_Talk/DigitalTalk_08.zip, http://csdb.dk/getinternalfile.php/62095/dt08.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2008%20german&sourceid=csdb
"DT 09+10, Digital Talk #09+10 [german]",Digital Talk,Commodore 64,Digital Talk,16 September 1994,16.09.1994,https://csdb.dk//release/?id=5780,http://csdb.dk/getinternalfile.php/62215/dt09.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%200910%20german&sourceid=csdb
"DT 11, Digital Talk #11 [german]",Digital Talk,Commodore 64,Digital Talk,20 November 1994,20.11.1994,https://csdb.dk//release/?id=5781,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Digital_Talk/DigitalTalk_11.zip, http://csdb.dk/getinternalfile.php/64262/DigitalTalk_11.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2011%20german&sourceid=csdb
"DT 12, Digital Talk #12 [german]",Digital Talk,Commodore 64,Digital Talk,10 April 1995,10.04.1995,https://csdb.dk//release/?id=5782,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Digital_Talk/DigitalTalk_12.zip, http://csdb.dk/getinternalfile.php/64263/DigitalTalk_12.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2012%20german&sourceid=csdb
"DT 13, Digital Talk #13 [german]",Digital Talk,Commodore 64,Digital Talk,12 May 1995,12.05.1995,https://csdb.dk//release/?id=5783,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Digital_Talk/DigitalTalk_13.zip, http://csdb.dk/getinternalfile.php/64264/DigitalTalk_13.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2013%20german&sourceid=csdb
"DT 14, Digital Talk #14 [german]",Digital Talk,Commodore 64,Digital Talk,20 June 1995,20.06.1995,https://csdb.dk//release/?id=5784,http://csdb.dk/getinternalfile.php/890/digitaltalk14.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2014%20german&sourceid=csdb
"DT 15, Digital Talk #15 [german]",Digital Talk,Commodore 64,Digital Talk,27 July 1995,27.07.1995,https://csdb.dk//release/?id=5785,http://csdb.dk/getinternalfile.php/889/digitaltalk15.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2015%20german&sourceid=csdb
"DT 16, Digital Talk #16 [german]",Digital Talk,Commodore 64,Digital Talk,5 September 1995,05.09.1995,https://csdb.dk//release/?id=5786,http://csdb.dk/getinternalfile.php/891/digitaltalk16.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2016%20german&sourceid=csdb
"DT 17, Digital Talk #17 [german]",Digital Talk,Commodore 64,Digital Talk,23 November 1995,23.11.1995,https://csdb.dk//release/?id=5787,http://csdb.dk/getinternalfile.php/892/digitaltalk17.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2017%20german&sourceid=csdb
"DT 18, Digital Talk #18 [german]",Digital Talk,Commodore 64,Digital Talk,15 January 1996,15.01.1996,https://csdb.dk//release/?id=5788,http://csdb.dk/getinternalfile.php/893/digitaltalk18.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2018%20german&sourceid=csdb
"DT 19, Digital Talk #19 [german]",Digital Talk,Commodore 64,Digital Talk,15 April 1996,15.04.1996,https://csdb.dk//release/?id=5789,http://csdb.dk/getinternalfile.php/894/digitaltalk19.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2019%20german&sourceid=csdb
"DT 20, Digital Talk #20 [german]",Digital Talk,Commodore 64,Digital Talk,15 July 1996,15.07.1996,https://csdb.dk//release/?id=5790,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Digital_Talk/DigitalTalk_20.zip, http://csdb.dk/getinternalfile.php/64265/DigitalTalk_20.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2020%20german&sourceid=csdb
"DT 21, Digital Talk #21 [german]",Digital Talk,Commodore 64,Digital Talk,11 August 1996,11.08.1996,https://csdb.dk//release/?id=5791,http://csdb.dk/getinternalfile.php/895/digitaltalk21.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2021%20german&sourceid=csdb
"DT 22, Digital Talk #22 [german]",Digital Talk,Commodore 64,Digital Talk,30 November 1996,30.11.1996,https://csdb.dk//release/?id=5792,"http://csdb.dk/getinternalfile.php/896/digitaltalk22.zip, http://csdb.dk/getinternalfile.php/108731/dt22.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2022%20german&sourceid=csdb
"DT 23, Digital Talk #23 [german]",Digital Talk,Commodore 64,Digital Talk,15 January 1997,15.01.1997,https://csdb.dk//release/?id=5793,http://csdb.dk/getinternalfile.php/897/digitaltalk23.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2023%20german&sourceid=csdb
"DT 24, Digital Talk #24 [german]",Digital Talk,Commodore 64,Digital Talk,15 March 1997,15.03.1997,https://csdb.dk//release/?id=5794,http://csdb.dk/getinternalfile.php/898/digitaltalk24.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2024%20german&sourceid=csdb
"DT 25, Digital Talk #25 (Silver Edition) [german]",Digital Talk,Commodore 64,Digital Talk,25 May 1997,25.05.1997,https://csdb.dk//release/?id=5795,http://csdb.dk/getinternalfile.php/899/digitaltalk25.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2025%20Silver%20Edition%20german&sourceid=csdb
"DT 26, Digital Talk #26 [german]",Digital Talk,Commodore 64,Digital Talk,8 August 1997,08.08.1997,https://csdb.dk//release/?id=5796,http://csdb.dk/getinternalfile.php/900/digitaltalk26.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2026%20german&sourceid=csdb
"DT 27, Digital Talk #27 [german]",Digital Talk,Commodore 64,Digital Talk,1 November 1997,01.11.1997,https://csdb.dk//release/?id=11374,http://csdb.dk/getinternalfile.php/877/digitaltalk27.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2027%20german&sourceid=csdb
"DT 28, Digital Talk #28 [german]",Digital Talk,Commodore 64,Digital Talk,15 December 1997,15.12.1997,https://csdb.dk//release/?id=5797,http://csdb.dk/getinternalfile.php/901/digitaltalk28.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2028%20german&sourceid=csdb
"DT 29, Digital Talk #29 [german]",Digital Talk,Commodore 64,Digital Talk,26 February 1998,26.02.1998,https://csdb.dk//release/?id=5798,http://csdb.dk/getinternalfile.php/902/digitaltalk29.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2029%20german&sourceid=csdb
"DT 30, Digital Talk #30 [german]",Digital Talk,Commodore 64,Digital Talk,25 April 1998,25.04.1998,https://csdb.dk//release/?id=5122,http://csdb.dk/getinternalfile.php/903/digitaltalk30.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2030%20german&sourceid=csdb
"DT 31, Digital Talk #31 [german]",Digital Talk,Commodore 64,Digital Talk,27 June 1998,27.06.1998,https://csdb.dk//release/?id=5799,"https://csdb.dk/getinternalfile.php/221866/DigitalTalk_31.zip, ftp://ftp.scs-trc.net/pub/c64/Magazines/Digital_Talk/DigitalTalk_31.zip, https://github.com/Digital-Talk/issues/blob/main/DigitalTalk_31.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2031%20german&sourceid=csdb
"DT 32, Digital Talk #32 [german]",Digital Talk,Commodore 64,Digital Talk,10 October 1998,10.10.1998,https://csdb.dk//release/?id=5800,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Digital_Talk/DigitalTalk_32.zip, http://csdb.dk/getinternalfile.php/64266/DigitalTalk_32.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2032%20german&sourceid=csdb
"DT 33, Digital Talk #33 [german]",Digital Talk,Commodore 64,Digital Talk,22 November 1998,22.11.1998,https://csdb.dk//release/?id=5801,"https://csdb.dk/getinternalfile.php/221867/DigitalTalk_33.zip, https://github.com/Digital-Talk/issues/blob/main/DigitalTalk_33.zip, ftp://ftp.scs-trc.net/pub/c64/Magazines/Digital_Talk/DigitalTalk_33.zip",http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2033%20german&sourceid=csdb
"DT 34, Digital Talk #34 [german]",Digital Talk,Commodore 64,Digital Talk,20 December 1998,20.12.1998,https://csdb.dk//release/?id=5802,http://csdb.dk/getinternalfile.php/906/digitaltalk34.zip,http://ftp.pokefinder.org/index.php?s=Digital%20Talk%2034%20german&sourceid=csdb
