title,platform,country,country_translated,city,city_translated,language,releases,releases_converted,date_start,date_end,issues,link,download_link
Amiga News,ZX Spectrum,Россия,Russia,Новосибирск,Novosibirsk,Russian,11 февраля 1998,11.02.1998,11.02.1998,11.02.1998,Amiga News #00,https://zxpress.ru/issue.php?id=306,https://zxpress.ru/d.php?id=306
Amigoz,ZX Spectrum,Украина,Ukraine,Днепропетровск,Dnepropetrovsk,Russian,"14 декабря 1997, 04 ноября 1997, 19 октября 1997","19.10.1997, 04.11.1997, 14.12.1997",19.10.1997,14.12.1997,"Amigoz #01, Amigoz #02, Amigoz #03",https://zxpress.ru/issue.php?id=15,https://zxpress.ru/d.php?id=15
Anecdotes,ZX Spectrum,Россия,Russia,Челябинск,Chelyabinsk,Russian,01 апреля 1997,01.04.1997,01.04.1997,01.04.1997,Anecdotes #01,https://zxpress.ru/issue.php?id=325,https://zxpress.ru/d.php?id=325
Anigdot,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"09 ноября 1996, 01 ноября 1996, 25 октября 1996, 11 октября 1996, 05 октября 1996, 27 сентября 1996, 20 сентября 1996, 13 сентября 1996, 06 сентября 1996, 30 августа 1996, 23 августа 1996, 15 августа 1996, 12 апреля 1996, 29 марта 1996, 22 марта 1996, 15 марта 1996, 08 марта 1996, 23 февраля 1996, 02 февраля 1996","02.02.1996, 23.02.1996, 08.03.1996, 15.03.1996, 22.03.1996, 29.03.1996, 12.04.1996, 15.08.1996, 23.08.1996, 30.08.1996, 06.09.1996, 13.09.1996, 20.09.1996, 27.09.1996, 05.10.1996, 11.10.1996, 25.10.1996, 01.11.1996, 09.11.1996",02.02.1996,09.11.1996,"Anigdot #19, Anigdot #22, Anigdot #24, Anigdot #25, Anigdot #26, Anigdot #27, Anigdot #28, Anigdot #36, Anigdot #37, Anigdot #38, Anigdot #39, Anigdot #40, Anigdot #41, Anigdot #42, Anigdot #43, Anigdot #44, Anigdot #45, Anigdot #46, Anigdot #47",https://zxpress.ru/issue.php?id=16,https://zxpress.ru/d.php?id=16
Anti-Top,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,28 марта 1997,28.03.1997,28.03.1997,28.03.1997,Anti-Top #01,https://zxpress.ru/issue.php?id=17,https://zxpress.ru/d.php?id=17
Antivel,ZX Spectrum,Россия,Russia,Ковров,Kovrov,Russian,09 августа 1998,09.08.1998,09.08.1998,09.08.1998,Antivel #01,https://zxpress.ru/issue.php?id=18,https://zxpress.ru/d.php?id=18
Aspect,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"14 июня 1999, 21 мая 1998, 07 апреля 1998, 07 марта 1998, 10 февраля 1998, 29 января 1998, 18 января 1998, 10 января 1998, 28 декабря 1997, 05 декабря 1997","05.12.1997, 28.12.1997, 10.01.1998, 18.01.1998, 29.01.1998, 10.02.1998, 07.03.1998, 07.04.1998, 21.05.1998, 14.06.1999",05.12.1997,14.06.1999,"Aspect #01, Aspect #02, Aspect #03, Aspect #04, Aspect #05, Aspect #06, Aspect #07, Aspect #08, Aspect #09, Aspect #10",https://zxpress.ru/issue.php?id=19,https://zxpress.ru/d.php?id=19
Avro News,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"27 октября 2006, 08 октября 2006, 31 августа 2006, 31 марта 2006, 12 марта 2006","12.03.2006, 31.03.2006, 31.08.2006, 08.10.2006, 27.10.2006",12.03.2006,27.10.2006,"Avro News #00, Avro News #01, Avro News #02, Avro News #03, Avro News #04",https://zxpress.ru/issue.php?id=20,https://zxpress.ru/d.php?id=20
Balagan,ZX Spectrum,Россия,Russia,Ковров,Kovrov,Russian,"01 января 1998, 31 декабря 1997","31.12.1997, 01.01.1998",31.12.1997,01.01.1998,"Balagan #02, Balagan #03",https://zxpress.ru/issue.php?id=21,https://zxpress.ru/d.php?id=21
Baltic Press,ZX Spectrum,Россия,Russia,Калининград,Kaliningrad,Russian,29 сентября 1998,29.09.1998,29.09.1998,29.09.1998,Baltic Press #00,https://zxpress.ru/issue.php?id=22,https://zxpress.ru/d.php?id=22
Batva,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,,https://zxpress.ru/issue.php?id=23,https://zxpress.ru/d.php?id=23
BBSTOP,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,,https://zxpress.ru/issue.php?id=24,https://zxpress.ru/d.php?id=24
Best of,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,,,,,"Best of #01, Best of #02, Best of #03",https://zxpress.ru/issue.php?id=25,https://zxpress.ru/d.php?id=25
Black Crow,ZX Spectrum,Украина,Ukraine,Димитров,Dimitrov,Russian,"01 сентября 2001, 01 июня 2001, 01 февраля 2001, 01 сентября 2000, 27 июня 2000, 01 ноября 1998, 01 июня 1998","01.06.1998, 01.11.1998, 27.06.2000, 01.09.2000, 01.02.2001, 01.06.2001, 01.09.2001",01.06.1998,01.09.2001,"Black Crow #01, Black Crow #02, Black Crow #03, Black Crow #04, Black Crow #05, Black Crow #06, Black Crow #07",https://zxpress.ru/issue.php?id=26,https://zxpress.ru/d.php?id=26
Black Metall,ZX Spectrum,Россия,Russia,Хабаровск,Khabarovsk,Russian,"16 сентября 2004, 02 июля 2004, 26 апреля 2004, 31 марта 2004","31.03.2004, 26.04.2004, 02.07.2004, 16.09.2004",31.03.2004,16.09.2004,"Black Metall #01, Black Metall #02, Black Metall #03, Black Metall #04",https://zxpress.ru/issue.php?id=27,https://zxpress.ru/d.php?id=27
Body,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"26 апреля 2003, 26 апреля 2003, 08 февраля 2003, 08 февраля 2003, 26 ноября 2002, 26 ноября 2002, 21 октября 2002, 21 октября 2002, 19 июля 2002, 16 июня 2002, 31 мая 2002, 25 мая 2002, 16 мая 2002, 16 мая 2002, 16 мая 2002, 02 апреля 2002, 23 марта 2002, 16 марта 2002, 26 февраля 2002, 16 февраля 2002, 25 декабря 2001, 25 декабря 2001, 01 декабря 2001, 30 сентября 2001, 16 сентября 2001, 14 сентября 2001, 14 июля 2001, 01 июня 2001, 21 апреля 2001, 25 марта 2001, 10 марта 2001, 23 февраля 2001, 14 февраля 2001, 17 января 2001, 11 января 2001, 28 декабря 2000, 14 ноября 2000, 13 декабря 2000, 28 октября 2000, 30 августа 2000, 31 июля 2000, 18 июля 2000, 21 июня 2000, 08 мая 2000, 04 мая 2000, 09 марта 2000, 30 сентября 1999, 22 августа 1999, 19 августа 1999, 12 августа 1999, 07 августа 1999, 31 июля 1999, 27 июля 1999, 21 мая 1998, 28 апреля 1998, 21 января 1998, 11 декабря 1997, 11 октября 1997, 24 сентября 1997, 28 августа 1997, 10 июля 1997, 02 июля 1997, 25 июня 1997, 20 июня 1997, 14 июня 1997, 13 июня 1997, 09 июня 1997, 03 июня 1997, 25 мая 1997","25.05.1997, 03.06.1997, 09.06.1997, 13.06.1997, 14.06.1997, 20.06.1997, 25.06.1997, 02.07.1997, 10.07.1997, 28.08.1997, 24.09.1997, 11.10.1997, 11.12.1997, 21.01.1998, 28.04.1998, 21.05.1998, 27.07.1999, 31.07.1999, 07.08.1999, 12.08.1999, 19.08.1999, 22.08.1999, 30.09.1999, 09.03.2000, 04.05.2000, 08.05.2000, 21.06.2000, 18.07.2000, 31.07.2000, 30.08.2000, 28.10.2000, 14.11.2000, 13.12.2000, 28.12.2000, 11.01.2001, 17.01.2001, 14.02.2001, 23.02.2001, 10.03.2001, 25.03.2001, 21.04.2001, 01.06.2001, 14.07.2001, 14.09.2001, 16.09.2001, 30.09.2001, 01.12.2001, 25.12.2001, 25.12.2001, 16.02.2002, 26.02.2002, 16.03.2002, 23.03.2002, 02.04.2002, 16.05.2002, 16.05.2002, 16.05.2002, 25.05.2002, 31.05.2002, 16.06.2002, 19.07.2002, 21.10.2002, 21.10.2002, 26.11.2002, 26.11.2002, 08.02.2003, 08.02.2003, 26.04.2003, 26.04.2003",25.05.1997,26.04.2003,"Body #01, Body #02, Body #03, Body #04, Body #05, Body #06, Body #07, Body #08, Body #09, Body #0A, Body #0B, Body #0C, Body #0D, Body #0E, Body #0F, Body #10, Body #11, Body #12, Body #13, Body #14, Body #15, Body #16, Body #17, Body #18, Body #19, Body #1A, Body #1B, Body #1C, Body #1D, Body #1E, Body #1F, Body #20, Body #21, Body #22, Body #23, Body #24, Body #25, Body #26, Body #27, Body #28, Body #29, Body #2B, Body #2C, Body #2D, Body #2E, Body #2F, Body #30, Body #31, Body #31a, Body #32, Body #33, Body #34, Body #35, Body #36, Body #37a, Body #37b, Body #37c, Body #38, Body #39, Body #3A, Body #3B, Body #3C, Body #3C#, Body #3D, Body #3D#, Body #3E, Body #3F, Body #3F#, Body #3e#",https://zxpress.ru/issue.php?id=28,https://zxpress.ru/d.php?id=28
Bonus,ZX Spectrum,Россия,Russia,Нефтекамск,Neftekamsk,Russian,"05 февраля 2000, 22 января 2000, 15 января 2000, 26 декабря 1999, 25 декабря 1999","25.12.1999, 26.12.1999, 15.01.2000, 22.01.2000, 05.02.2000",25.12.1999,05.02.2000,"Bonus #15, Bonus #16, Bonus #17, Bonus #18, Bonus #19",https://zxpress.ru/issue.php?id=29,https://zxpress.ru/d.php?id=29
Book,ZX Spectrum,Россия,Russia,Омутнинск,Omutninsk,Russian,05 февраля 2003,05.02.2003,05.02.2003,05.02.2003,"Book #01, Book #02",https://zxpress.ru/issue.php?id=30,https://zxpress.ru/d.php?id=30
Born Dead,ZX Spectrum,Россия,Russia,Самара,Samara,Russian,"02 июля 2000, 31 марта 2000, 08 февраля 2000, 19 декабря 1999, 08 октября 1999, 11 сентября 1999, 31 июля 1999, 02 июня 1999, 30 мая 1999, 19 апреля 1999, 12 марта 1999, 17 февраля 1999, 06 января 1999, 21 ноября 1998, 08 ноября 1998, 04 ноября 1998, 24 октября 1998","24.10.1998, 04.11.1998, 08.11.1998, 21.11.1998, 06.01.1999, 17.02.1999, 12.03.1999, 19.04.1999, 30.05.1999, 02.06.1999, 31.07.1999, 11.09.1999, 08.10.1999, 19.12.1999, 08.02.2000, 31.03.2000, 02.07.2000",24.10.1998,02.07.2000,"Born Dead #01, Born Dead #02, Born Dead #03, Born Dead #04, Born Dead #05, Born Dead #06, Born Dead #07, Born Dead #08, Born Dead #09, Born Dead #0A, Born Dead #0B, Born Dead #0C, Born Dead #0D, Born Dead #0E, Born Dead #0F, Born Dead #0G, Born Dead #10",https://zxpress.ru/issue.php?id=31,https://zxpress.ru/d.php?id=31
Bred,ZX Spectrum,Россия,Russia,Киров,Kirov,Russian,"30 сентября 2002, 30 сентября 2002","30.09.2002, 30.09.2002",30.09.2002,30.09.2002,"Bred #01, Bred #02",https://zxpress.ru/issue.php?id=305,https://zxpress.ru/d.php?id=305
Bred,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,07 мая 1996,07.05.1996,07.05.1996,07.05.1996,"Bred #01, Bred #02, Bred #07, Bred #11",https://zxpress.ru/issue.php?id=32,https://zxpress.ru/d.php?id=32
Breeze,ZX Spectrum,Украина,Ukraine,Одесса,Odessa,Russian,"21 августа 1997, 04 июля 1997, 31 марта 1997","31.03.1997, 04.07.1997, 21.08.1997",31.03.1997,21.08.1997,"Breeze #06, Breeze #09, Breeze #10",https://zxpress.ru/issue.php?id=33,https://zxpress.ru/d.php?id=33
Bugs,ZX Spectrum,Россия,Russia,Великие Луки,Velikiye Luki,Russian,"31 декабря 1999, 30 сентября 1999","30.09.1999, 31.12.1999",30.09.1999,31.12.1999,"Bugs #01, Bugs #02",https://zxpress.ru/issue.php?id=34,https://zxpress.ru/d.php?id=34
Buhenvald,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"29 декабря 1997, 22 декабря 1997, 12 декабря 1997","12.12.1997, 22.12.1997, 29.12.1997",12.12.1997,29.12.1997,"Buhenvald #01, Buhenvald #02, Buhenvald #03",https://zxpress.ru/issue.php?id=35,https://zxpress.ru/d.php?id=35
Burn the Lighter,ZX Spectrum,Украина,Ukraine,Кривой Рог,Krivoy Rog,Russian,"24 сентября 2012, 12 сентября 2012, 15 ноября 2011","15.11.2011, 12.09.2012, 24.09.2012",15.11.2011,24.09.2012,"Burn the Lighter #01, Burn the Lighter #02, Burn the Lighter #03, Burn the Lighter #04",https://zxpress.ru/issue.php?id=307,https://zxpress.ru/d.php?id=307
Buzz,ZX Spectrum,Россия,Russia,Ковров,Kovrov,Russian,"31 декабря 2001, 18 августа 2000, 11 октября 1999, 10 апреля 1999, 26 сентября 1998, 09 июля 1998, 29 апреля 1998, 12 февраля 1998, 30 декабря 1997, 22 октября 1997, 16 сентября 1997, 09 августа 1997, 19 июня 1997, 06 июня 1997, 31 мая 1997, 19 мая 1997, 26 апреля 1997, 09 апреля 1997, 19 марта 1997, 28 февраля 1997","28.02.1997, 19.03.1997, 09.04.1997, 26.04.1997, 19.05.1997, 31.05.1997, 06.06.1997, 19.06.1997, 09.08.1997, 16.09.1997, 22.10.1997, 30.12.1997, 12.02.1998, 29.04.1998, 09.07.1998, 26.09.1998, 10.04.1999, 11.10.1999, 18.08.2000, 31.12.2001",28.02.1997,31.12.2001,"Buzz #01, Buzz #02, Buzz #03, Buzz #04, Buzz #05, Buzz #06, Buzz #07, Buzz #08, Buzz #09, Buzz #10, Buzz #11, Buzz #12, Buzz #13, Buzz #14, Buzz #15, Buzz #16, Buzz #17, Buzz #18, Buzz #19, Buzz #20",https://zxpress.ru/issue.php?id=36,https://zxpress.ru/d.php?id=36
C-Net Week,ZX Spectrum,Беларусь,Belarus,Гродно,Grodno,Russian,"28 июня 2007, 31 июля 2002, 29 февраля 2000, 20 февраля 2000, 31 января 2000, 30 июля 1999, 14 декабря 1998, 15 октября 1998, 09 октября 1998, 31 июля 1998, 10 июля 1998, 04 апреля 1998, 27 февраля 1998, 07 февраля 1998, 31 января 1998, 22 января 1998, 17 января 1998, 10 января 1998, 02 января 1998, 19 декабря 1997, 07 ноября 1997, 31 октября 1997, 24 октября 1997, 16 октября 1997","16.10.1997, 24.10.1997, 31.10.1997, 07.11.1997, 19.12.1997, 02.01.1998, 10.01.1998, 17.01.1998, 22.01.1998, 31.01.1998, 07.02.1998, 27.02.1998, 04.04.1998, 10.07.1998, 31.07.1998, 09.10.1998, 15.10.1998, 14.12.1998, 30.07.1999, 31.01.2000, 20.02.2000, 29.02.2000, 31.07.2002, 28.06.2007",16.10.1997,28.06.2007,"C-Net Week #01, C-Net Week #02, C-Net Week #03, C-Net Week #04, C-Net Week #05, C-Net Week #06, C-Net Week #07, C-Net Week #08, C-Net Week #09, C-Net Week #10, C-Net Week #11, C-Net Week #12, C-Net Week #13, C-Net Week #14, C-Net Week #15, C-Net Week #16, C-Net Week #17, C-Net Week #18, C-Net Week #19, C-Net Week #20, C-Net Week #21, C-Net Week #22, C-Net Week #23, C-Net Week #24",https://zxpress.ru/issue.php?id=47,https://zxpress.ru/d.php?id=47
cafe photo album,ZX Spectrum,Россия,Russia,Ковров,Kovrov,Russian,01 июня 2003,01.06.2003,01.06.2003,01.06.2003,cafe photo album #2003,https://zxpress.ru/issue.php?id=338,https://zxpress.ru/d.php?id=338
CAFe'2003,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,,,,,,https://zxpress.ru/issue.php?id=337,https://zxpress.ru/d.php?id=337
Cancer,ZX Spectrum,Россия,Russia,Барнаул,Barnaul,Russian,,,,,"Cancer #01, Cancer #02",https://zxpress.ru/issue.php?id=37,https://zxpress.ru/d.php?id=37
Chaos,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,01 августа 1997,01.08.1997,01.08.1997,01.08.1997,Chaos #01,https://zxpress.ru/issue.php?id=38,https://zxpress.ru/d.php?id=38
Cheat,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"01 августа 1998, 01 октября 1998, 01 февраля 1998","01.02.1998, 01.08.1998, 01.10.1998",01.02.1998,01.10.1998,"Cheat #01, Cheat #03 demo, Cheat #2,5",https://zxpress.ru/issue.php?id=39,https://zxpress.ru/d.php?id=39
Chudo,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,Chudo #02,https://zxpress.ru/issue.php?id=40,https://zxpress.ru/d.php?id=40
City,ZX Spectrum,Россия,Russia,Саранск,Saransk,Russian,"14 мая 2001, 24 февраля 2001, 09 декабря 2000, 19 ноября 2000, 20 октября 2000, 25 августа 2000, 19 июня 2000, 09 июня 2000, 09 июня 2000, 19 мая 2000, 09 апреля 2000, 25 марта 2000, 06 марта 2000, 08 февраля 2000, 14 января 2000, 29 декабря 1999, 17 декабря 1999, 11 декабря 1999, 04 декабря 1999, 06 ноября 1999, 17 октября 1999, 04 октября 1999, 01 октября 1999, 25 сентября 1999, 19 сентября 1999, 15 сентября 1999, 09 сентября 1999, 30 августа 1999, 16 августа 1999, 12 августа 1999, 06 августа 1999, 26 июля 1999, 24 июля 1999, 14 июля 1999, 14 июля 1999, 09 июля 1999, 06 июля 1999, 29 июня 1999, 14 июня 1999, 06 июня 1999, 29 мая 1999, 14 мая 1999, 05 мая 1999, 10 апреля 1999, 31 марта 1999, 28 марта 1999, 24 марта 1999, 21 марта 1999, 19 марта 1999, 13 марта 1999, 08 марта 1999, 06 марта 1999","06.03.1999, 08.03.1999, 13.03.1999, 19.03.1999, 21.03.1999, 24.03.1999, 28.03.1999, 31.03.1999, 10.04.1999, 05.05.1999, 14.05.1999, 29.05.1999, 06.06.1999, 14.06.1999, 29.06.1999, 06.07.1999, 09.07.1999, 14.07.1999, 14.07.1999, 24.07.1999, 26.07.1999, 06.08.1999, 12.08.1999, 16.08.1999, 30.08.1999, 09.09.1999, 15.09.1999, 19.09.1999, 25.09.1999, 01.10.1999, 04.10.1999, 17.10.1999, 06.11.1999, 04.12.1999, 11.12.1999, 17.12.1999, 29.12.1999, 14.01.2000, 08.02.2000, 06.03.2000, 25.03.2000, 09.04.2000, 19.05.2000, 09.06.2000, 09.06.2000, 19.06.2000, 25.08.2000, 20.10.2000, 19.11.2000, 09.12.2000, 24.02.2001, 14.05.2001",06.03.1999,14.05.2001,"City #01, City #02, City #03, City #04, City #05, City #06, City #07, City #08, City #09, City #10, City #11, City #12, City #13, City #14, City #15, City #16, City #17, City #18, City #19, City #20, City #21, City #22, City #23, City #24, City #25, City #26, City #27, City #28, City #29, City #30, City #31, City #32, City #33, City #34, City #35, City #36, City #37, City #38, City #39, City #40, City #41, City #42, City #43, City #44, City #45, City #46, City #47, City #48, City #49, City #50, City #51, City #52, City #53",https://zxpress.ru/issue.php?id=42,https://zxpress.ru/d.php?id=42
City,ZX Spectrum,Беларусь,Belarus,Мозырь,Mozyr,Russian,"13 апреля 1998, 08 марта 1998","08.03.1998, 13.04.1998",08.03.1998,13.04.1998,"City #01, City #02",https://zxpress.ru/issue.php?id=41,https://zxpress.ru/d.php?id=41
Clime,ZX Spectrum,Россия,Russia,Чебоксары,Cheboksary,Russian,"25 июля 1998, 19 марта 1998, 02 марта 1998","02.03.1998, 19.03.1998, 25.07.1998",02.03.1998,25.07.1998,"Clime #01, Clime #02, Clime #03",https://zxpress.ru/issue.php?id=43,https://zxpress.ru/d.php?id=43
Codemania,ZX Spectrum,Беларусь,Belarus,Гродно,Grodno,Russian,31 декабря 1999,31.12.1999,31.12.1999,31.12.1999,Codemania #01,https://zxpress.ru/issue.php?id=309,https://zxpress.ru/d.php?id=309
Cossackos,ZX Spectrum,Россия,Russia,Ульяновск,Ulyanovsk,Russian,,,,,,https://zxpress.ru/issue.php?id=44,https://zxpress.ru/d.php?id=44
