Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues],Magazine[Source]
HTBZine,,,01.11.2003,01.11.2003,WINDOWS,"HTBZine #1, HTBZine#1","Demozoo, Pouet"
Hugendubelexpress,,,25.05.1996,01.02.1997,MS-DOS,"Hugendubelexpress #1, Hugendubelexpress #2, Hugendubelexpress #3, Hugendubelexpress #4",Demozoo
Hugi,,,01.05.1996,10.06.2014,"AMIGA PPC/RTG, BEOS, MS-DOS, WINDOWS","angst, bye, Germany, Hugi #01, Hugi #02, Hugi #03, Hugi #04, Hugi #05, Hugi #06, Hugi #07, Hugi #08, Hugi #09 - The Next Generation, Hugi #10, Hugi #11, Hugi #11 - Obscene Scene Magascene, Hugi #12, Hugi #12 - The Huge Disk Mega Zine, Hugi #13, Hugi #13 - For Educational Purposes, Hugi #14, Hugi #14 - Hugi in Afghanistan, Hugi #15, Hugi #15 - Whenever You Are Alone, Hugi #16, Hugi #16 - Russian Edition, Hugi #16 - The Royal Scene Magazine, Hugi #17, Hugi #17 - For International Affairs, Hugi #18, Hugi #18 - Russian Edition, Hugi #18 - The Eminent, Hugi #19, Hugi #19 - The Superior, Hugi #20, Hugi #20 - Russian Edition, Hugi #20 - The Source of Life, Hugi #21 - The Devil Family, Hugi #22 - Eternal Sunshine, Hugi #22 - Russian Edition, Hugi #23 - Alone In The Woods, Hugi #23 - Alone in the Woods, Hugi #23 - Russian Edition, Hugi #24, Hugi #24 - Russian Edition, Hugi #24 - The Shift, Hugi #25 - Fairy Power, Hugi #25 - Russian Edition, Hugi #26 - Russian Edition, Hugi #26 - Techno Tarantula, Hugi #27 - Russian Edition, Hugi #27 - The Freedom Diskmag, Hugi #28 - The Unnamed One, Hugi #29 - Russian Edition, Hugi #29 - The Blue One, Hugi #30 - Russian Edition, Hugi #30 - Scene Substance, Hugi #31 - Friendship is all, Hugi #31 - Russian Edition, Hugi #32 - Say It With Flowers, Hugi #33 - MP3 Power, Hugi #34 - World of Scene, Hugi #35 - Disruption in Chaos Theory , Hugi #36 - Jukebox Delight, Hugi #37, Hugi #37 - Around The World, Hugi #38 - Gravity Shot, Hugi #5, Hugi #6, Hugi #7, Hugi #8, Hugi #9, Hugi 34 - World of Scene, Hugi Bugfix, Hugi Special Edition #1: Coding Digest, Hugi Special Edition #3: Interview Bonanza, Hugi Special Edition #4, Hugi Special Edition 3: Interview Bonanza, Hugi Special Edition 4, Hugi.Ger #1, Hugi.GER #1 - Back to the roots, Hugi.Ger #2, Hugi.GER #2 - Szeneputzen, Hugi.Ger #3, Hugi.GER #3 - Bye, Hugi.GER #4 - Piccolo zum Nikolo, hugi.ger #5 - entwicklung","Demozoo, Pouet"
Hujoza,,,01.01.1992,01.01.1994,AMIGA OCS/ECS,"Hujoza 1, HUJOZA 1, Hujoza 2, Hujoza 3, Hujoza II, Hujoza III","Demozoo, Pouet"
Humor in Exchange,Russian,Belarus,01.06.2001,01.06.2001,ZX Spectrum,"Humor in Exchange #00, Humor in Exchange #07",ZXpress
Hybrid Christmas Magazine,,,01.12.1996,24.12.1996,WINDOWS,"hybrid christmas magazine 1996, Hybrid Christmas Magazine 1996","Demozoo, Pouet"
Hydra,,,01.09.1994,01.02.1996,"AMIGA AGA, AMIGA OCS/ECS","Hydra  10, Hydra 1, Hydra 11, Hydra 12, Hydra 13, Hydra 14, Hydra 15, Hydra 16, Hydra 17, Hydra 18, Hydra 2, Hydra 3, Hydra 7, Hydra 8, Hydra 9, Hydra Issue 01, Hydra Issue 03, Hydra Issue 07, Hydra Issue 08, Hydra Issue 09, Hydra Issue 10, Hydra Issue 11, Hydra Issue 12, Hydra Issue 13, Hydra Issue 14, Hydra Issue 15, Hydra Issue 16, Hydra Issue 17","Demozoo, Pouet"
Hype Magazine,,,18.08.1992,18.08.1992,MS-DOS,Hype Magazine #2,Demozoo
Hypegy,,,01.09.2016,01.01.2017,ZX Spectrum,"Hypegy #1, Hypegy #2","Demozoo, Pouet"
Hypnosis,,,01.04.1990,12.04.1990,Commodore 64,Hypnosis #1,"CSDB, Demozoo, Pouet"
Hypnosys,,,01.02.1994,01.02.1994,MS-DOS,"Hypnosys, Hypnosys Issue #1","Demozoo, Pouet"
Hypnotic-Energy-Awesome Party Report,,,01.08.1991,01.08.1991,AMIGA OCS/ECS,Hypnotic-Energy-Awesome Party Report,Demozoo
"Híradó, Hirado",,,15.02.1993,01.04.1996,Commodore 64,"Hirado #03 (1993 05 27)( ), Hirado #04 (1994 03 01)( ), Hirado #05 (1994 05)( ), Hirado #06 (1994 07)( ), Hirado #07 (1994)( ), Hirado #08 (1995 03 15)( ), Hirado #09 (1995 09 15)( ), Hirado #10 (1995 12)( ), Hirado #11 (1996)( ), Híradó #1, Híradó #10, Híradó #11, Híradó #2, Híradó #3, Híradó #4, Híradó #4.4, Híradó #5, Híradó #6, Híradó #7, Híradó #8, Híradó #9, Híradó 4","CSDB, Demozoo, Internet Archive"
I'll Say No,English,,,,Commodore 64,I'll Say No (1990)(Triad),Internet Archive
"I.C.E, I.C.E.",,,01.12.1990,01.05.1992,AMIGA OCS/ECS,"I.C.E 1, I.C.E 2, I.C.E 3, I.C.E 4, I.C.E 5, I.C.E 6, I.C.E 7, I.C.E 8, i.c.e. #1, i.c.e. #2, i.c.e. #3, i.c.e. #4, I.C.E. #5, I.C.E. #6, I.C.E. #7, I.C.E. #8","Demozoo, Pouet"
IaDarb Technology magazine,,,01.01.2003,01.01.2003,MS-DOS,"IaDarb Technology magazine #1, IaDarb Technology magazine #2: Preview Edition",Internet Archive
ICE Weekly Newsletter,,,24.06.1993,24.06.1993,MS-DOS,ICE Weekly Newsletter Issue #0,Demozoo
Iceland,English,,01.01.1997,01.01.1997,Commodore 64,"Iceland #01 [polish], Iceland #1 (19xx)( )(pl)","CSDB, Internet Archive"
ICM-News,English,,01.01.1989,01.02.1991,Commodore 64,"ICM News #1 (1989)(Contrast), ICM News #2 (1989)(Contrast), ICM News #3 (1989)(Contrast), ICM News #4 (1990)(Contrast), ICM News #5 (1990)(Contrast), ICM News #6 (1991 02)(Contrast), ICM-News #1, ICM-News #2, ICM-News #3, ICM-News #4, ICM-News #5, ICM-News #5 (Alternate Version), ICM-News #6","CSDB, Internet Archive, Pouet"
If Tomorrow Comes,,,01.11.1988,01.11.1988,Commodore 64,If Tomorrow Comes,Demozoo
iFantasy magazine,,,07.05.1998,01.02.2002,MS-DOS,"iFantasy magazine #1, iFantasy magazine #10, iFantasy magazine #11, iFantasy magazine #2, iFantasy magazine #3, iFantasy magazine #4, iFantasy magazine #5, iFantasy magazine #6, iFantasy magazine #7, iFantasy magazine #8, iFantasy magazine #9",Internet Archive
Illegal,English,,01.06.1987,01.03.1991,Commodore 64,"Illegal #1 (1988)(Triad), Illegal #18, Illegal #25 Preview, Illegal #25 Preview (1988 01 10)(Triad), Illegal #26 Preview, Illegal #26 Preview (1988 02 25)(Triad), Illegal #30 Preview, Illegal #30 Preview (1988)(TRIAD), Illegal #31, Illegal #32, Illegal #32 Preview, Illegal 11/87 Preview, Illegal Charts August 1987, Illegal Copy #1, Illegal Copy #1 (1991 03)( ), Illegal Copy #2, Illegal Copy #2 (1991)(Norman Schnitzler), Illegal Copy #2 (19xx)(Decade), Illegal Demo February, Illegal Demo February (1988 02 21)(TRIAD), Illegal Demo March, Illegal Preview, Illegal Preview (1987 08 22)(German Spreading Service), Illegal Preview April, Illegal Preview April (1988)(Triad)","CSDB, Demozoo, Internet Archive, Pouet"
Illegal Copy,,,01.01.1991,01.05.1991,AMIGA OCS/ECS,"Illegal Copy #01, Illegal Copy #02, Illegal Copy 1, Illegal Copy 2","Demozoo, Pouet"
"Illuminatus, Illuminatus Magazine",English,,30.06.1991,01.08.1992,MS-DOS,"Illuminatus #1, Illuminatus #2, Illuminatus #3, Illuminatus #4, Illuminatus #5 1/2, Illuminatus #5½, Illuminatus Magazine #1, Illuminatus Magazine #2, Illuminatus Magazine #3, Illuminatus Magazine #4, Illuminatus Magazine #5","Demozoo, Internet Archive, Pouet"
Illustrator,,,01.11.1992,01.11.1992,MS-DOS,Illustrator Issue #1,Demozoo
IM1A2 Abrams Review,,,23.03.1997,23.03.1997,MS-DOS,IM1A2 Abrams Review,Demozoo
IMAgE,,,01.12.1994,01.10.1999,"MS-DOS, WINDOWS","IMAgE #1, IMAgE #2, Image #3, IMAgE #3, IMAgE #4, IMAgE #5","Demozoo, Pouet"
Image Magazine,,,01.01.1994,01.01.1994,MS-DOS,Image Magazine #1,Demozoo
Imazine,,,01.01.1992,01.02.1994,AMIGA OCS/ECS,"Imazine 1, Imazine 2, Imazine 3, Imazine 4",Demozoo
Immortal Flash,English,,01.10.1989,22.07.1993,Commodore 64,"Immortal Flash #01, Immortal Flash #01 (19xx)(The CFA), Immortal Flash #02, Immortal Flash #02 (19xx)(The CFA), Immortal Flash #03, Immortal Flash #03 (1990)(The CFA), Immortal Flash #04, Immortal Flash #04 (1990)(The CFA), Immortal Flash #05, Immortal Flash #06, Immortal Flash #07, Immortal Flash #08, Immortal Flash #08 (1990 12)(Computer Freaks Association), Immortal Flash #09, Immortal Flash #10, Immortal Flash #11, Immortal Flash #12, Immortal Flash #13, Immortal Flash #14, Immortal Flash #14 (1992 04 21)(Atlantis), Immortal Flash #15, Immortal Flash #15 (1992 08)(Atlantis Illusion), Immortal Flash #16, Immortal Flash #17, Immortal Flash #18, Immortal Flash #18 (1993 07 22)(Atlantis Illusion), Immortal Flash 1, Immortal Flash 10, Immortal Flash 11, Immortal Flash 12, Immortal Flash 13, Immortal Flash 14, Immortal Flash 15, Immortal Flash 16, Immortal Flash 17, Immortal Flash 18, Immortal Flash 2, Immortal Flash 3, Immortal Flash 4, Immortal Flash 5, Immortal Flash 6, Immortal Flash 7, Immortal Flash 8, Immortal Flash 9","CSDB, Demozoo, Internet Archive, Pouet"
Impact,English,,01.01.1991,04.11.1991,Commodore 64,"Impact #001, Impact #002, Impact #003, Impact #004, Impact #006, Impact #007, Impact #1 (1991 01 01)(Flare), Impact #2 (1991)(Xentrix), Impact #4 (1991 05 28)(Xentrix), Impact #7 (19xx)(Xentrix)","CSDB, Demozoo, Internet Archive, Pouet"
Imperium Galactica Review,,,29.03.1997,29.03.1997,MS-DOS,Imperium Galactica Review,Demozoo
Imphobia,,,01.02.1992,01.07.1996,MS-DOS,"Imphobia #1, Imphobia #10, imphobia #11, imphobia #12, Imphobia #2, Imphobia #3, Imphobia #4, Imphobia #5, Imphobia #6, Imphobia #7, Imphobia #8, Imphobia #9, Imphobia 1, Imphobia 10, Imphobia 11, Imphobia 12, Imphobia 2, Imphobia 3, Imphobia 4, Imphobia 5, Imphobia 6, Imphobia 7, Imphobia 8, Imphobia 9","Demozoo, Pouet"
Impulse,Russian,Belarus,31.03.1997,15.02.2001,ZX Spectrum,"Impulse #01, Impulse #02, Impulse #03, Impulse #04, Impulse #05, Impulse #06, Impulse #07, Impulse #08, Impulse #09, Impulse #10, Impulse #11(html)",ZXpress
Impulse [Equador],English,,01.01.1995,24.01.1995,Commodore 64,Impulse #1,"CSDB, Demozoo, Pouet"
Impulse [Spirit],English,,01.01.1992,01.07.1993,Commodore 64,"Impulse #1, Impulse #1 (1992 07)(Spirit), Impulse #2, Impulse #3, Impulse #4","CSDB, Internet Archive, Pouet"
"impure!1940 amiga ascii art diskmag, Impure!Ascii, i M P U R E ! a S C I I 1 9 4 O",,,01.03.2016,03.09.2016,"LINUX, WINDOWS","i M P U R E ! a S C I I  1 9 4 O, impure!1940 amiga ascii art diskmag, Impure!Ascii 1940 #62 amiga ascii emag","Demozoo, Pouet"
In Duebus Illes,,,01.01.1993,01.01.1993,AMIGA OCS/ECS,In Duebus Illes,Demozoo
Inc Magazine,,,17.12.1989,01.08.1990,ATARI ST/E,"Inc Magazine Vol. 1 Nr. 1, Inc Magazine Vol. 2 Nr. 1, Inc Magazine Vol. 2 Nr. 2, Inc Magazine Vol. 2 Nr. 3, Inc Magazine Vol. 2 Nr. 4, Inc Magazine Vol. 2 Nr. 5, Inc Magazine Vol. 2 Nr. 7, Inc Magazine Vol. 2 Nr. 8",Demozoo
Incube,,,01.12.2004,01.01.2007,WINDOWS,"incube #1, incube #2, incube #3 (russian edition), Incube #4 (rus/eng), Incube 1, Incube 2, Incube 3, Incube 4","Demozoo, Pouet"
"Indecent Proposal, Niemoralna propozycja",Polish,,10.04.2000,10.04.2000,Commodore 64,Indecent Proposal,CSDB
Independence Day Review,,,11.03.1997,11.03.1997,MS-DOS,Independence Day Review,Demozoo
Independent,English,,01.01.1991,03.07.1992,Commodore 64,"Independent #01, Independent #01 (1991 05 08)(Radius), Independent #02, Independent #03, Independent #04, Independent #04 (1991 07 30)(Brutal Radius), Independent #04 (1991)( ), Independent #05, Independent #06, Independent #07, Independent #08, Independent #09, Independent #09 (1992 01 31)(Brutal The Ruling Company), Independent #10, Independent #10 (1992)( ), Independent #11, Independent #11 (1992 04 01)(Brutal Extacy), Independent #12, Independent #12 (1992 05 01)(Brutal Extacy), Independent #12 (1992)( ), Independent #13, Independent 1, Independent 10, Independent 11, Independent 12, Independent 13, Independent 2, Independent 3, Independent 4, Independent 5, Independent 6, Independent 7, Independent 8, Independent 9","CSDB, Demozoo, Internet Archive, Pouet"
Indianapolis 500 Dox,,,22.12.1989,22.12.1989,MS-DOS,Indianapolis 500 Dox,Demozoo
Indy Car Racer Review,,,13.11.1993,13.11.1993,MS-DOS,Indy Car Racer Review,Demozoo
Indy Mag,,,01.11.1990,01.11.1990,Commodore 64,Indy Mag #1,CSDB
Infamia,,,23.09.1995,03.01.1998,"AMIGA AGA, AMIGA OCS/ECS","Infamia 0, Infamia 1, Infamia 2, Infamia 3, Infamia 4",Demozoo
Infant,,,16.11.1991,10.03.1992,AMIGA OCS/ECS,"Infant #1, Infant #2, Infant #3, Infant 1, Infant 2, Infant 3","Demozoo, Pouet"
Infection,English,,,,Commodore 64,Infection #07 (1990)( ),Internet Archive
Inferno,Russian,Russia,31.12.2000,22.06.2003,ZX Spectrum,"Inferno #01, Inferno #02, Inferno #03, Inferno #04, inferno #3","Pouet, ZXpress"
Inferno Guide,Russian,Russia,01.06.2004,01.06.2004,ZX Spectrum,Inferno Guide #5,Pouet
Infinity,English,,01.01.1991,17.10.1991,Commodore 64,"Infinity #1, Infinity #1 (1991 10 17)( )","CSDB, Internet Archive, Pouet"
Infinity,English,,01.08.1993,01.08.1996,MS-DOS,"Infinity #1, Infinity #2, Infinity #3, Infinity #4, infinity issue #5, Infinity Issue #5, Infinity Magazine Promo","Demozoo, Pouet"
Infinity Diskmag,,,01.01.1996,09.08.1996,MS-DOS,"Infinity Diskmag Issue 1, Infinity Diskmag Issue 2",Demozoo
Influence,Polish,,01.01.2000,01.01.2000,PAPER,Influence (Paper Part),Demozoo
Influence,English,,01.01.1999,01.01.2000,AMIGA AGA,Influence 3,"Demozoo, Pouet"
Influx,English,,24.06.1988,01.08.1989,Commodore 64,"Influx #01 (1988 06 24)(Influx Staff), Influx #02 (1989 07)(Influx Staff), Influx #03 (1989 08 01)(Influx Staff), Influx #1, Influx #2, Influx #3, Influx July 1989 (1989 07)(Influx Staff)","CSDB, Internet Archive"
Info Guide,"English, Russian",Russia,30.04.2004,26.04.2021,ZX Spectrum,"Info Guide #05, Info Guide #06, Info Guide #07, Info Guide #08, Info Guide #09, Info Guide #10, Info Guide #11, Info Guide #12, Info Guide #12 (rus/eng), Info Guide #13, Info Guide #6","Demozoo, Pouet, ZXpress"
Info System 4,,,24.12.1991,24.12.1991,Commodore 64,Info System 4,CSDB
Info-Corner,,,12.06.1994,12.06.1994,AMIGA OCS/ECS,Info-Corner,Demozoo
Infopedia,,,01.11.1993,01.11.1993,MS-DOS,Infopedia Issue #2,Demozoo
Informator,,,13.01.1995,09.07.1997,ATARI 8 BIT,"Informator, Informator Version 2.0",Demozoo
Infos Time,,,30.09.1996,30.09.1996,Commodore 64,Infos Time #01,CSDB
Infused Bytes,,,01.05.1994,01.01.1995,"MS-DOS, MS-Dos/gus","Infused Bytes #1, Infused Bytes #2, Infused Bytes 1, Infused Bytes 2","Demozoo, Pouet"
Ingenious Brain,English,,01.01.1993,01.09.1994,Commodore 64,"Ingenious Brain #1, Ingenious Brain #1 (1993 03)(Equinoxe), Ingenious Brain #2, Ingenious Brain #2 (1993 11 08)(Equinoxe), Ingenious Brain #3, Ingenious Brain #3 (1993 12 21)(Equinoxe), Ingenious Brain #4, Ingenious Brain #4 (1994 04 30)(Equinoxe), Ingenious Brain #5, Ingenious Brain #5 (19xx)(Equinoxe)(Side A)","CSDB, Internet Archive, Pouet"
Inject,English,,01.01.1997,01.01.1997,Commodore 64,"Inject #1, Inject #1 (1997 01)(Scorn)","CSDB, Internet Archive, Pouet"
Inner Circle,English,,01.06.1996,14.02.1997,Commodore 64,"Inner Circle #1, Inner Circle #1 (1996)(Dark Crystal), Inner Circle #2, Inner Circle #2 (1996 09)(Dark Crystal), Inner Circle #3, Inner Circle #3 (1997 02 14)(Dark Crystal)","CSDB, Internet Archive, Pouet"
Innovision,Russian,,,,ZX Spectrum,Innovision #00,ZXpress
"Input, Input 64","German, English",,01.01.1985,01.01.1988,Commodore 64,"Input 64 #01/88, Input 64 (1988 09)(Verlag Heinz Weise)(de)(Side B), Input 64 85 01 (1985)(Verlag Heinz Weise)(de), Input 64 85 02 (1985)(Verlag Heinz Weise)(de), Input 64 85 03 (1985)(Verlag Heinz Weise)(de), Input 64 85 04 (1985)(Verlag Heinz Weise)(de), Input 64 85 05 (1985)(Verlag Heinz Weise)(de), Input 64 85 06 (1985)(Verlag Heinz Weise)(de), Input 64 85 07 (1985)(Verlag Heinz Weise)(de), Input 64 85 08 (1985)(Verlag Heinz Weise)(de), Input 64 85 09 (1985)(Verlag Heinz Weise)(de), Input 64 85 10 (1985)(Verlag Heinz Weise)(de), Input 64 85 11 (1985)(Verlag Heinz Weise)(de), Input 64 85 12 (1985)(Verlag Heinz Weise)(de), Input 64 86 01 (1986)(Verlag Heinz Weise)(de), Input 64 86 02 (1986)(Verlag Heinz Weise)(de), Input 64 86 03 (1986)(Verlag Heinz Weise)(de), Input 64 86 04 (1986)(Verlag Heinz Weise)(de), Input 64 86 05 (1986)(Verlag Heinz Weise)(de), Input 64 86 06 (1986)(Verlag Heinz Weise)(de), Input 64 86 07 (1986)(Verlag Heinz Weise)(de), Input 64 86 08 (1986)(Verlag Heinz Weise)(de), Input 64 86 09 (1986)(Verlag Heinz Weise)(de), Input 64 86 10 (1986)(Verlag Heinz Weise)(de), Input 64 86 11 (1986)(Verlag Heinz Weise)(de), Input 64 86 12 (1986)(Verlag Heinz Weise)(de), Input 64 87 01 (1987)(Verlag Heinz Weise)(de), Input 64 87 02 (1987)(Verlag Heinz Weise)(de), Input 64 87 03 (1987)(Verlag Heinz Weise)(de), Input 64 87 04 (1987)(Verlag Heinz Weise)(de), Input 64 87 05 (1987)(Verlag Heinz Weise)(de), Input 64 87 06 (1987)(Verlag Heinz Weise)(de), Input 64 87 07 (1987)(Verlag Heinz Weise)(de), Input 64 87 08 (1987)(Verlag Heinz Weise)(de), Input 64 87 09 (1987)(Verlag Heinz Weise)(de), Input 64 87 10 (1987)(Verlag Heinz Weise)(de), Input 64 87 11 (1987)(Verlag Heinz Weise)(de), Input 64 87 12 (1987)(Verlag Heinz Weise)(de), Input 64 88 01 (1988)(Verlag Heinz Weise)(de), Input 64 88 02 (1988)(Verlag Heinz Weise)(de), Input 64 88 03 (1988)(Verlag Heinz Weise)(de), Input 64 88 04 (1988)(Verlag Heinz Weise)(de), Input 64 88 05 (1988)(Verlag Heinz Weise)(de), Input 64 88 06 (1988)(Verlag Heinz Weise)(de), Input 64 88 07 (1988)(Verlag Heinz Weise)(de), Input 64 88 08 (1988)(Verlag Heinz Weise)(de), Input 64 88 09 (1988)(Verlag Heinz Weise)(de), Input 64 88 10 (1988)(Verlag Heinz Weise)(de), Input 64 88 11 (1988)(Verlag Heinz Weise)(de), Input 64 88 12 (1988)(Verlag Heinz Weise)(de), Input 64 Spezial (19xx)(Verlag Heinz Weise)(de), Input64 (01/1985)","CSDB, Internet Archive"
Inquire,,,01.01.1994,01.10.1994,"AMIGA AGA, AMIGA OCS/ECS","Inquire 1, Inquire 2, Inquire 3, Inquire 4, Inquire 5",Demozoo
Inquiry,English,,29.01.1993,29.01.1993,Commodore 64,"Inquiry #1, Inquiry #1 (1993 01 29)(Elysium)","CSDB, Demozoo, Internet Archive"
Insane,English,,01.11.1989,01.01.1991,Commodore 64,"Insane #001, Insane #002, Insane #003, Insane #003 (1990 04)(X Out), Insane #004, Insane #005, Insane #005 (1990 05 26)(X Out), Insane #006 Advertisement, Insane #007, Insane #1 (1990)(X Out), Insane #2 (1989)(X Out), Insane #3 (1990)(X Out), Insane #4 (19xx)(X Out), Insane #5 (19xx)(X Out), Insane #6 (19xx)(X Out), Insane Preview, Insane Preview (1991)(Sabian)","CSDB, Demozoo, Internet Archive, Pouet"
Insane Inc. magazine,,,08.11.2000,15.01.2001,MS-DOS,"Insane Inc. magazine #1, Insane Inc. magazine #1 [v1.1], Insane Inc. magazine #2: Road to Insanity",Internet Archive
Insane Reality,,,29.07.1993,01.07.1994,MS-DOS,"Insane Reality Issue #1, Insane Reality Issue #2, Insane Reality Issue #3, Insane Reality Issue #4, Insane Reality Issue #5",Demozoo
Insanity,Russian,Russia,20.07.1999,30.11.2001,ZX Spectrum,"Insanity #01, Insanity #02, Insanity #03, Insanity #04, Insanity #05, Insanity #06, Insanity #07, Insanity #08, Insanity #09, Insanity #10",ZXpress
Insanity,,,01.01.1996,01.06.1996,AMIGA OCS/ECS,"Insanity 1, Insanity 2, Insanity 3, Insanity 4, Insanity 5",Demozoo
"Insanity, Insanity Magazine",English,,01.09.1991,23.12.1991,MS-DOS,"Insanity #1, Insanity #2, Insanity #3, Insanity Magazine #1, Insanity Magazine #2, Insanity Magazine #3","Demozoo, Internet Archive, Pouet"
Inside Connection,English,,01.01.1992,01.01.1992,Commodore 64,"Inside Connection, The #3 (19xx)( ), The Inside Connection #01, The Inside Connection #02, The Inside Connection #03","CSDB, Internet Archive"
Inside Info,,,,,ATARI ST/E,"Inside Info 49, Inside Info 51, Inside Info 53, Inside Info 54, Inside Info 56, Inside Info 57",Demozoo
Inside View,English,,01.06.1990,01.06.1990,Commodore 64,"Inside View #001, Inside View #1 (1990)(United Artists)","CSDB, Internet Archive"
Insider,English,,01.10.1993,29.03.1998,Commodore 64,"insider #1, Insider #1, insider #2, Insider #2, Insider #2 (1994 04 08)(Reflex), Insider #3, insider #3, Insider #4, insider #4, Insider #4 (1995 01 13)(Reflex)(Side A), Insider #6, insider #6, Insider #6 (1996 03 17)(Reflex), Insider #7, insider #7, Insider #7 (1998 03 29)(Reflex)(Side A), Insider 1, Insider 2, Insider 3, Insider 4, Insider 6, Insider 7","CSDB, Demozoo, Internet Archive, Pouet"
Insight,English,,01.12.1995,01.12.1997,MS-DOS,"Insight #1, Insight #2, Insight 1, Insight 2","Demozoo, Pouet"
